id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Maximum likelihood	617.313780170507	448	1.78676871674934e-07
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	617.365528296861	447	1.50013249274425e-07
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted	617.473177826033	448	1.74658077316765e-07
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Unweighted regression	0.171970720152259	448	1
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	Maximum likelihood	800.514770931313	449	3.73776299135477e-22
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	800.909083934603	448	2.55227093077124e-22
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted	800.955612975933	449	3.38866040844694e-22
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	Unweighted regression	0.0864320429993263	449	1
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Maximum likelihood	694.443648835662	449	7.91897393229733e-13
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	694.287137473144	448	6.51448293272115e-13
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted	694.878195010359	449	7.32078127898673e-13
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Unweighted regression	0.10801097557625	449	1
BMI_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Maximum likelihood	622.653867808608	447	6.96986922259804e-08
BMI_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	622.676219693318	446	5.84520766815442e-08
BMI_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted	622.704439860009	447	6.91844874788904e-08
BMI_combined	hSsvz7	Stratified_rectal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Unweighted regression	0.168259630228694	447	1
BMI_combined	mcXK0v	Stratified_proximal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Maximum likelihood	597.576500003988	447	2.29582583558431e-06
