id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
BMI_female	bjdcuO	joint_proximal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Maximum likelihood	294.180623273859	241	0.0108980194247973
BMI_female	bjdcuO	joint_proximal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	MR Egger	293.93489048441	240	0.00995033682974006
BMI_female	bjdcuO	joint_proximal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Inverse variance weighted	294.344715948102	241	0.0107113154445246
BMI_female	bjdcuO	joint_proximal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Unweighted regression	0.153529917240173	241	1
BMI_female	cwxSIy	joint_colon_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Maximum likelihood	284.487492140375	241	0.0285363272270386
BMI_female	cwxSIy	joint_colon_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	MR Egger	284.161859047221	240	0.026566257153212
BMI_female	cwxSIy	joint_colon_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Inverse variance weighted	284.639527544407	241	0.0281338735464496
BMI_female	cwxSIy	joint_colon_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Unweighted regression	0.0929949943694642	241	1
BMI_female	ILb943	Stratified_female_Meta_125K_Results.tsv.annotated.txt	BMI_female	Maximum likelihood	326.06809545833	241	0.000212488121547257
BMI_female	ILb943	Stratified_female_Meta_125K_Results.tsv.annotated.txt	BMI_female	MR Egger	325.463523738546	240	0.000196426372098186
BMI_female	ILb943	Stratified_female_Meta_125K_Results.tsv.annotated.txt	BMI_female	Inverse variance weighted	326.186648947826	241	0.000208967894167975
BMI_female	ILb943	Stratified_female_Meta_125K_Results.tsv.annotated.txt	BMI_female	Unweighted regression	0.0748583511986661	241	1
BMI_female	sAivMc	joint_rectal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Maximum likelihood	302.224820935517	241	0.00449882089979348
BMI_female	sAivMc	joint_rectal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	MR Egger	302.078187378072	240	0.00402092824926019
BMI_female	sAivMc	joint_rectal_Female_wald_MAC50_1.TBL.annotated.txt	BMI_female	Inverse variance weighted	302.239062767132	241	0.00449147675095848
