id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	449	0.199424728960132	0.133245839414305	0.135185500879058
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Weighted median	449	0.130077482763927	0.0750691414665639	0.0831367311257218
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted (multiplicative random effects)	449	0.165096503572389	0.0512830150511715	0.00128494413647852
BMI_combined	3t5TCv	Stratified_distal_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Weighted mode	449	0.100372186658132	0.121082040071687	0.407568390255385
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	450	0.164469495795389	0.0954248782860938	0.0854791510264019
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	Weighted median	450	0.12602917201006	0.0458148326332985	0.00594430739173331
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted (multiplicative random effects)	450	0.150258166028166	0.0366495195368031	4.1338713635909e-05
BMI_combined	9bdK76	MarginalMeta_125K_Results.tsv.annotated.txt	BMI_combined	Weighted mode	450	0.0448889313501208	0.0907532749093273	0.621106057157787
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	MR Egger	450	0.251428558845208	0.107081091149764	0.0193075300729694
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Weighted median	450	0.194869266221367	0.0550815734495006	0.000403429065865156
BMI_combined	a4hx87	Stratified_colon_Meta_125K_Results.tsv.annotated.txt	BMI_combined	Inverse variance weighted (multiplicative random effects)	450	0.190393396869719	0.0411866107822896	3.7877505213477e-06
