sequence_id	direction_group	exposure	group
3806_55	positive	whr	Female
8942_2	positive	whr	Female
9003_99	positive	whr	Female
9380_2	positive	whr	Female
9487_60	positive	whr	Female
10000_28	positive	whr	Female
10001_7	positive	whr	Female
10003_15	positive	whr	Female
10006_25	positive	whr	Female
10008_43	positive	whr	Female
10011_65	positive	whr	Female
10014_31	positive	whr	Female
10015_119	positive	whr	Female
10022_207	positive	whr	Female
10023_32	positive	whr	Female
10024_44	positive	whr	Female
10030_8	positive	whr	Female
10035_6	positive	whr	Female
10036_201	positive	whr	Female
10037_98	positive	whr	Female
10040_63	positive	whr	Female
10041_3	positive	whr	Female
10042_8	positive	whr	Female
10043_31	positive	whr	Female
10044_12	positive	whr	Female
10045_47	positive	whr	Female
10047_12	positive	whr	Female
10049_112	positive	whr	Female
10054_3	positive	whr	Female
10056_5	positive	whr	Female
10058_1	positive	whr	Female
10063_10	positive	whr	Female
10064_12	positive	whr	Female
10070_22	positive	whr	Female
10073_22	positive	whr	Female
10074_128	positive	whr	Female
10075_75	positive	whr	Female
10076_1	positive	whr	Female
10078_5	positive	whr	Female
10081_17	positive	whr	Female
10082_251	positive	whr	Female
10085_25	positive	whr	Female
10086_39	positive	whr	Female
10087_10	positive	whr	Female
10336_3	positive	whr	Female
10346_5	positive	whr	Female
10361_25	positive	whr	Female
10362_35	positive	whr	Female
10363_13	positive	whr	Female
10364_6	positive	whr	Female
10391_1	negative	whr	Female
10425_3	positive	whr	Female
10430_31	positive	whr	Female
10435_2	positive	whr	Female
10438_19	positive	whr	Female
10440_26	negative	whr	Female
10445_20	negative	whr	Female
10447_18	positive	whr	Female
10451_11	positive	whr	Female
10454_99	positive	whr	Female
10455_196	positive	whr	Female
10462_14	positive	whr	Female
10464_6	negative	whr	Female
10485_56	positive	whr	Female
10490_3	positive	whr	Female
10499_1	positive	whr	Female
10507_166	positive	whr	Female
10510_62	positive	whr	Female
10512_13	positive	whr	Female
10514_5	positive	whr	Female
10521_10	negative	whr	Female
10527_22	positive	whr	Female
10530_8	positive	whr	Female
10531_18	positive	whr	Female
10534_40	positive	whr	Female
10539_30	positive	whr	Female
10550_37	positive	whr	Female
10551_7	negative	whr	Female
10552_88	positive	whr	Female
10553_8	positive	whr	Female
10554_23	positive	whr	Female
10557_6	positive	whr	Female
10561_5	positive	whr	Female
10562_42	positive	whr	Female
10563_13	positive	whr	Female
10565_19	negative	whr	Female
10569_28	positive	whr	Female
10571_14	positive	whr	Female
10572_65	positive	whr	Female
10582_36	positive	whr	Female
10588_39	positive	whr	Female
10589_7	positive	whr	Female
10600_24	negative	whr	Female
10603_1	positive	whr	Female
10605_22	positive	whr	Female
10606_34	positive	whr	Female
10612_18	positive	whr	Female
10613_33	positive	whr	Female
10616_67	positive	whr	Female
10618_190	positive	whr	Female
10621_26	positive	whr	Female
10623_19	positive	whr	Female
10624_45	positive	whr	Female
10627_87	positive	whr	Female
10630_5	positive	whr	Female
10637_50	positive	whr	Female
10638_1	positive	whr	Female
10643_16	positive	whr	Female
10647_18	positive	whr	Female
10663_42	positive	whr	Female
10666_7	positive	whr	Female
10667_78	positive	whr	Female
10668_5	positive	whr	Female
10672_75	positive	whr	Female
10693_43	positive	whr	Female
10695_12	positive	whr	Female
10699_52	positive	whr	Female
10705_14	positive	whr	Female
10708_3	positive	whr	Female
10710_23	positive	whr	Female
10713_151	positive	whr	Female
10714_7	positive	whr	Female
10716_35	positive	whr	Female
10722_13	positive	whr	Female
10731_10	positive	whr	Female
10737_96	positive	whr	Female
10753_31	positive	whr	Female
10754_113	positive	whr	Female
10756_34	positive	whr	Female
10760_107	positive	whr	Female
10761_5	positive	whr	Female
10767_52	positive	whr	Female
10772_21	positive	whr	Female
10781_19	positive	whr	Female
10785_8	positive	whr	Female
10798_4	positive	whr	Female
10800_15	positive	whr	Female
10815_2	positive	whr	Female
10816_150	positive	whr	Female
10818_36	positive	whr	Female
10825_12	positive	whr	Female
10827_67	positive	whr	Female
10830_5	positive	whr	Female
10833_64	positive	whr	Female
10835_25	positive	whr	Female
10842_7	positive	whr	Female
10851_77	negative	whr	Female
10852_114	positive	whr	Female
10866_60	positive	whr	Female
10876_300	positive	whr	Female
10880_38	positive	whr	Female
10882_12	positive	whr	Female
10885_36	positive	whr	Female
10889_2	positive	whr	Female
10890_135	positive	whr	Female
10892_8	positive	whr	Female
10895_28	positive	whr	Female
10902_53	negative	whr	Female
10908_2	positive	whr	Female
10910_6	positive	whr	Female
10916_44	positive	whr	Female
10917_40	positive	whr	Female
10924_258	positive	whr	Female
10933_107	positive	whr	Female
10938_13	positive	whr	Female
10939_16	positive	whr	Female
10940_25	positive	whr	Female
10945_11	positive	whr	Female
10949_59	positive	whr	Female
10955_4	positive	whr	Female
10956_82	positive	whr	Female
10959_125	positive	whr	Female
10961_15	positive	whr	Female
10974_20	negative	whr	Female
10975_59	positive	whr	Female
10977_55	positive	whr	Female
10981_56	positive	whr	Female
10990_21	positive	whr	Female
11067_13	positive	whr	Female
11071_1	positive	whr	Female
11094_104	positive	whr	Female
11098_1	positive	whr	Female
11103_24	positive	whr	Female
11105_171	positive	whr	Female
11107_25	positive	whr	Female
11110_4	positive	whr	Female
11112_18	positive	whr	Female
11116_16	positive	whr	Female
11117_2	positive	whr	Female
11120_49	positive	whr	Female
11122_97	positive	whr	Female
11126_102	positive	whr	Female
11128_29	positive	whr	Female
11129_66	positive	whr	Female
11130_158	positive	whr	Female
11134_30	positive	whr	Female
11135_5	positive	whr	Female
11137_43	positive	whr	Female
11138_16	positive	whr	Female
11140_56	negative	whr	Female
11143_32	positive	whr	Female
11144_10	positive	whr	Female
11145_72	positive	whr	Female
11146_4	positive	whr	Female
11147_17	positive	whr	Female
11149_3	positive	whr	Female
11152_46	positive	whr	Female
11154_3	positive	whr	Female
11155_16	positive	whr	Female
11158_40	positive	whr	Female
11160_56	positive	whr	Female
11161_5	positive	whr	Female
11163_7	positive	whr	Female
11164_7	positive	whr	Female
11167_6	positive	whr	Female
11168_3	positive	whr	Female
11171_25	positive	whr	Female
11173_29	positive	whr	Female
11175_45	positive	whr	Female
11177_16	positive	whr	Female
11179_7	positive	whr	Female
11185_145	positive	whr	Female
11187_11	positive	whr	Female
11190_129	positive	whr	Female
11192_168	negative	whr	Female
11193_27	positive	whr	Female
11198_37	positive	whr	Female
11201_19	positive	whr	Female
11202_70	positive	whr	Female
11204_80	positive	whr	Female
11205_10	positive	whr	Female
11207_3	positive	whr	Female
11208_15	positive	whr	Female
11211_7	positive	whr	Female
11212_7	positive	whr	Female
11214_40	positive	whr	Female
11217_16	positive	whr	Female
11218_84	positive	whr	Female
11220_53	positive	whr	Female
11226_16	positive	whr	Female
11227_31	positive	whr	Female
11228_37	positive	whr	Female
11229_16	positive	whr	Female
11231_12	positive	whr	Female
11237_49	negative	whr	Female
11239_49	positive	whr	Female
11241_8	positive	whr	Female
11242_33	positive	whr	Female
11243_90	positive	whr	Female
11247_20	positive	whr	Female
11248_43	positive	whr	Female
11254_13	positive	whr	Female
11257_1	positive	whr	Female
11258_41	positive	whr	Female
11260_47	positive	whr	Female
11262_39	positive	whr	Female
11263_57	positive	whr	Female
11264_33	positive	whr	Female
11265_8	positive	whr	Female
11266_8	negative	whr	Female
11273_176	positive	whr	Female
11275_94	positive	whr	Female
11277_23	positive	whr	Female
11279_42	positive	whr	Female
11280_6	positive	whr	Female
11283_13	positive	whr	Female
11284_24	positive	whr	Female
11286_78	positive	whr	Female
11287_14	positive	whr	Female
11288_26	positive	whr	Female
11289_31	positive	whr	Female
11300_32	positive	whr	Female
11303_7	positive	whr	Female
11307_33	positive	whr	Female
11311_79	positive	whr	Female
11312_40	positive	whr	Female
11313_100	positive	whr	Female
11315_148	positive	whr	Female
11319_106	positive	whr	Female
11320_29	positive	whr	Female
11324_3	positive	whr	Female
11328_9	positive	whr	Female
11330_15	positive	whr	Female
11333_82	positive	whr	Female
11334_7	positive	whr	Female
11336_9	positive	whr	Female
11338_49	positive	whr	Female
11342_59	positive	whr	Female
11348_132	positive	whr	Female
11350_30	positive	whr	Female
11351_233	positive	whr	Female
11352_42	positive	whr	Female
11355_10	positive	whr	Female
11356_19	positive	whr	Female
11358_15	positive	whr	Female
11360_39	positive	whr	Female
11361_73	positive	whr	Female
11363_58	positive	whr	Female
11364_18	positive	whr	Female
11365_17	positive	whr	Female
11368_32	positive	whr	Female
11369_23	positive	whr	Female
11370_20	positive	whr	Female
11371_1	positive	whr	Female
11375_49	positive	whr	Female
11377_19	positive	whr	Female
11380_84	positive	whr	Female
11381_56	positive	whr	Female
11382_5	positive	whr	Female
11387_3	positive	whr	Female
11390_24	positive	whr	Female
11391_69	positive	whr	Female
11395_5	positive	whr	Female
11396_39	positive	whr	Female
11401_181	positive	whr	Female
11402_17	positive	whr	Female
11405_150	positive	whr	Female
11407_57	positive	whr	Female
11416_23	positive	whr	Female
11421_10	positive	whr	Female
11424_4	positive	whr	Female
11425_31	positive	whr	Female
11428_31	positive	whr	Female
11430_49	positive	whr	Female
11431_235	positive	whr	Female
11432_11	positive	whr	Female
11433_11	positive	whr	Female
11438_6	positive	whr	Female
11439_88	positive	whr	Female
11440_58	positive	whr	Female
11441_11	positive	whr	Female
11442_1	positive	whr	Female
11444_49	positive	whr	Female
11448_34	negative	whr	Female
11449_22	positive	whr	Female
11454_87	positive	whr	Female
11456_2	positive	whr	Female
11457_53	positive	whr	Female
11458_30	positive	whr	Female
11465_4	positive	whr	Female
11476_43	positive	whr	Female
11480_1	positive	whr	Female
11481_25	positive	whr	Female
11486_26	positive	whr	Female
11490_42	positive	whr	Female
11493_169	positive	whr	Female
11494_4	positive	whr	Female
11510_31	positive	whr	Female
11513_92	positive	whr	Female
11514_196	negative	whr	Female
11516_7	positive	whr	Female
11530_37	positive	whr	Female
11531_24	positive	whr	Female
11534_6	positive	whr	Female
11536_9	positive	whr	Female
11537_12	positive	whr	Female
11538_216	positive	whr	Female
11539_4	positive	whr	Female
11540_37	positive	whr	Female
11542_11	positive	whr	Female
11543_84	positive	whr	Female
11544_39	positive	whr	Female
11546_7	positive	whr	Female
11547_84	positive	whr	Female
11549_6	positive	whr	Female
11551_16	positive	whr	Female
11556_19	positive	whr	Female
11557_3	positive	whr	Female
11560_76	positive	whr	Female
11562_9	positive	whr	Female
11563_51	positive	whr	Female
11565_58	positive	whr	Female
11566_48	positive	whr	Female
11567_23	positive	whr	Female
11570_94	positive	whr	Female
11571_75	positive	whr	Female
11572_4	positive	whr	Female
11573_3	positive	whr	Female
11582_63	positive	whr	Female
11587_5	positive	whr	Female
11590_5	positive	whr	Female
11591_43	positive	whr	Female
11592_1	positive	whr	Female
11593_21	positive	whr	Female
11596_47	positive	whr	Female
11601_26	positive	whr	Female
11606_22	positive	whr	Female
11607_15	positive	whr	Female
11614_29	positive	whr	Female
11616_9	positive	whr	Female
11618_83	positive	whr	Female
11626_7	positive	whr	Female
11633_89	positive	whr	Female
11636_33	negative	whr	Female
