exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	lower_ci	upper_ci
BMI	Male	9487_60_GHRH_Growth_hormone_releasing_factor	9487_60	Growth_hormone_releasing_factor	GHRH	191	IVW-MRE	0.122943447747184	0.027456359151686	7.54244021051357e-06	0.0691289838098794	0.176757911684489
BMI	Male	10012_5_SPDEF_SPDEF	10012_5	SPDEF	SPDEF	191	IVW-MRE	0.126840708975842	0.0293630029453704	1.5620902422874e-05	0.069289223202916	0.184392194748768
BMI	Male	10014_31_SNAI2_SLUG	10014_31	SLUG	SNAI2	191	IVW-MRE	0.134512381397487	0.0298935314167438	6.80445246317389e-06	0.0759210598206692	0.193103702974305
BMI	Male	10036_201_ZHX3_ZHX3	10036_201	ZHX3	ZHX3	191	IVW-MRE	0.202644905514105	0.030481169259562	2.96699236282081e-11	0.142901813765363	0.262387997262847
BMI	Male	10044_12_WNT10A_WN10A	10044_12	WN10A	WNT10A	191	IVW-MRE	0.128203188733957	0.030720241031657	3.00287582414541e-05	0.0679915163119093	0.188414861156005
BMI	Male	10064_12_RBBP9_RBBP9	10064_12	RBBP9	RBBP9	191	IVW-MRE	0.142223150048604	0.0307102027806432	3.63663495030599e-06	0.0820311525985433	0.202415147498665
BMI	Male	10078_5_BAG3_BAG3	10078_5	BAG3	BAG3	191	IVW-MRE	0.131286507420072	0.0277230705366595	2.1836390671912e-06	0.0769492891682194	0.185623725671925
BMI	Male	10342_55_PIAS4_PIAS4	10342_55	PIAS4	PIAS4	191	IVW-MRE	0.126537735447932	0.027946177304757	5.95703474128703e-06	0.0717632279306083	0.181312242965256
BMI	Male	10396_6_MCL1_Mcl_1	10396_6	Mcl_1	MCL1	191	IVW-MRE	0.146412918014787	0.028716653763238	3.42288867402918e-07	0.0901282766388405	0.202697559390733
BMI	Male	10435_2_AGA_ASPG	10435_2	ASPG	AGA	191	IVW-MRE	0.160508178398576	0.0300011713307919	8.79232670595177e-08	0.101705882590224	0.219310474206928
BMI	Male	10440_26_CLMP_ACAM	10440_26	ACAM	CLMP	191	IVW-MRE	0.236388358101687	0.0331453698537248	9.90167771101881e-13	0.171423433188386	0.301353283014988
BMI	Male	10451_11_NUCB1_NUCB1	10451_11	NUCB1	NUCB1	191	IVW-MRE	0.192334989572399	0.0322893374743948	2.57523845035232e-09	0.129047888122585	0.255622091022213
BMI	Male	10464_6_ANTXR1_ANTR1	10464_6	ANTR1	ANTXR1	191	IVW-MRE	-0.161061045719557	0.0361484371296401	8.36797208144907e-06	-0.231911982493652	-0.0902101089454624
BMI	Male	10507_166_ACRV1_sperm_protein_10	10507_166	sperm_protein_10	ACRV1	191	IVW-MRE	0.113170131686297	0.0254811366276926	8.94046426348328e-06	0.0632271038960195	0.163113159476575
BMI	Male	10539_30_CD99L2_C99L2	10539_30	C99L2	CD99L2	191	IVW-MRE	0.130427710514049	0.0273416803352979	1.83962009277967e-06	0.0768380170568651	0.184017403971233
BMI	Male	10563_13_LYSMD3_LYSM3	10563_13	LYSM3	LYSMD3	191	IVW-MRE	0.114509608289157	0.027556496278892	3.24649699189868e-05	0.0604988755825287	0.168520340995785
BMI	Male	10565_19_SLITRK3_SLIK3	10565_19	SLIK3	SLITRK3	191	IVW-MRE	-0.392276866465778	0.0444201962420868	1.0369986274152e-18	-0.479340451100268	-0.305213281831288
BMI	Male	10572_65_CST8_CST8	10572_65	CST8	CST8	191	IVW-MRE	0.159771316160442	0.0345393144593375	3.73188859813032e-06	0.0920742598201405	0.227468372500743
BMI	Male	10575_31_PUF60_PUF60	10575_31	PUF60	PUF60	191	IVW-MRE	0.18988804680837	0.0295843181495056	1.37589981531697e-10	0.131902783235339	0.247873310381401
BMI	Male	10584_7_NDUFS4_NDUS4	10584_7	NDUS4	NDUFS4	191	IVW-MRE	0.124695201090041	0.0271781935390723	4.47382615783774e-06	0.0714259417534593	0.177964460426623
BMI	Male	10603_1_HTN3_HIS3	10603_1	HIS3	HTN3	191	IVW-MRE	-0.143799422087726	0.0318663417017448	6.40437103625554e-06	-0.206257451823146	-0.0813413923523062
BMI	Male	10618_190_LRP2_megalin	10618_190	megalin	LRP2	191	IVW-MRE	0.116221728892632	0.0281613605436656	3.67538084242771e-05	0.0610254622270474	0.171417995558217
BMI	Male	10638_1_TINF2_TINF2	10638_1	TINF2	TINF2	191	IVW-MRE	0.125841367137999	0.0282404144850214	8.34743608304738e-06	0.0704901547473571	0.181192579528641
BMI	Male	10666_7_GNPTG_GNPTG	10666_7	GNPTG	GNPTG	191	IVW-MRE	0.15778553867411	0.0314756895262198	5.36064254884252e-07	0.0960931872027192	0.219477890145501
BMI	Male	10695_12_WFDC10B_WF10B	10695_12	WF10B	WFDC10B	191	IVW-MRE	0.118225972413428	0.0275346802128006	1.75710789267478e-05	0.0642579991963388	0.172193945630517
BMI	Male	10702_1_COL28A1_COSA1	10702_1	COSA1	COL28A1	191	IVW-MRE	0.221346704800051	0.0324861335317484	9.52027391668353e-12	0.157673883077824	0.285019526522278
