sequence_id	direction_group	outcome	group
10000_28	negative	overall	Sex-combined
10008_43	positive	overall	Sex-combined
10011_65	negative	overall	Sex-combined
10012_5	negative	overall	Sex-combined
10014_31	negative	overall	Sex-combined
10015_119	NA	overall	Sex-combined
10023_32	negative	overall	Sex-combined
10024_44	negative	overall	Sex-combined
10035_6	negative	overall	Sex-combined
10036_201	positive	overall	Sex-combined
10041_3	positive	overall	Sex-combined
10042_8	NA	overall	Sex-combined
10046_55	negative	overall	Sex-combined
10047_12	negative	overall	Sex-combined
10053_5	NA	overall	Sex-combined
10063_10	NA	overall	Sex-combined
10070_22	negative	overall	Sex-combined
10074_128	NA	overall	Sex-combined
10075_75	positive	overall	Sex-combined
10078_5	NA	overall	Sex-combined
10080_9	NA	overall	Sex-combined
10082_251	positive	overall	Sex-combined
10085_25	positive	overall	Sex-combined
10342_55	NA	overall	Sex-combined
10344_334	negative	overall	Sex-combined
10346_5	negative	overall	Sex-combined
10356_21	negative	overall	Sex-combined
10361_25	NA	overall	Sex-combined
10362_35	NA	overall	Sex-combined
10364_6	NA	overall	Sex-combined
10366_11	negative	overall	Sex-combined
10372_18	positive	overall	Sex-combined
10391_1	positive	overall	Sex-combined
10418_36	positive	overall	Sex-combined
10419_1	positive	overall	Sex-combined
10424_31	positive	overall	Sex-combined
10425_3	NA	overall	Sex-combined
10447_18	NA	overall	Sex-combined
10453_7	negative	overall	Sex-combined
10454_99	NA	overall	Sex-combined
10462_14	NA	overall	Sex-combined
10464_6	positive	overall	Sex-combined
10490_3	NA	overall	Sex-combined
10499_1	negative	overall	Sex-combined
10506_53	NA	overall	Sex-combined
10507_166	negative	overall	Sex-combined
10510_62	NA	overall	Sex-combined
10512_13	negative	overall	Sex-combined
10514_5	negative	overall	Sex-combined
10530_8	negative	overall	Sex-combined
10531_18	NA	overall	Sex-combined
10534_40	NA	overall	Sex-combined
10539_30	negative	overall	Sex-combined
10546_2	negative	overall	Sex-combined
10550_37	negative	overall	Sex-combined
10552_88	negative	overall	Sex-combined
10553_8	NA	overall	Sex-combined
10557_6	positive	overall	Sex-combined
10560_1	negative	overall	Sex-combined
10562_42	NA	overall	Sex-combined
10563_13	NA	overall	Sex-combined
10565_19	negative	overall	Sex-combined
10574_10	negative	overall	Sex-combined
10580_14	NA	overall	Sex-combined
10600_24	negative	overall	Sex-combined
10606_34	negative	overall	Sex-combined
10608_9	positive	overall	Sex-combined
10612_18	negative	overall	Sex-combined
10615_18	negative	overall	Sex-combined
10618_190	NA	overall	Sex-combined
10620_21	negative	overall	Sex-combined
10621_26	negative	overall	Sex-combined
10623_19	NA	overall	Sex-combined
10630_5	negative	overall	Sex-combined
10637_50	NA	overall	Sex-combined
10638_1	NA	overall	Sex-combined
10666_7	positive	overall	Sex-combined
10667_78	negative	overall	Sex-combined
10668_5	NA	overall	Sex-combined
10695_12	NA	overall	Sex-combined
10700_10	NA	overall	Sex-combined
10704_91	NA	overall	Sex-combined
10708_3	negative	overall	Sex-combined
10710_23	NA	overall	Sex-combined
10713_151	NA	overall	Sex-combined
10714_7	negative	overall	Sex-combined
10722_13	NA	overall	Sex-combined
10734_339	negative	overall	Sex-combined
10737_96	NA	overall	Sex-combined
10748_216	negative	overall	Sex-combined
10752_8	negative	overall	Sex-combined
10754_113	negative	overall	Sex-combined
10760_107	positive	overall	Sex-combined
10761_5	NA	overall	Sex-combined
