sequence_id	direction_group	outcome	group
10000_28	positive	proximal	Sex-combined
10003_15	positive	proximal	Sex-combined
10008_43	positive	proximal	Sex-combined
10011_65	positive	proximal	Sex-combined
10015_119	NA	proximal	Sex-combined
10023_32	positive	proximal	Sex-combined
10041_3	positive	proximal	Sex-combined
10042_8	NA	proximal	Sex-combined
10044_12	positive	proximal	Sex-combined
10046_55	negative	proximal	Sex-combined
10053_5	NA	proximal	Sex-combined
10056_5	positive	proximal	Sex-combined
10063_10	NA	proximal	Sex-combined
10073_22	negative	proximal	Sex-combined
10074_128	NA	proximal	Sex-combined
10078_5	NA	proximal	Sex-combined
10080_9	NA	proximal	Sex-combined
10081_17	positive	proximal	Sex-combined
10082_251	positive	proximal	Sex-combined
10085_25	positive	proximal	Sex-combined
10339_48	negative	proximal	Sex-combined
10342_55	NA	proximal	Sex-combined
10346_5	negative	proximal	Sex-combined
10361_25	NA	proximal	Sex-combined
10362_35	NA	proximal	Sex-combined
10363_13	negative	proximal	Sex-combined
10364_6	NA	proximal	Sex-combined
10366_11	negative	proximal	Sex-combined
10372_18	negative	proximal	Sex-combined
10418_36	positive	proximal	Sex-combined
10419_1	negative	proximal	Sex-combined
10425_3	NA	proximal	Sex-combined
10426_21	positive	proximal	Sex-combined
10430_31	positive	proximal	Sex-combined
10435_2	positive	proximal	Sex-combined
10442_1	positive	proximal	Sex-combined
10447_18	NA	proximal	Sex-combined
10449_31	positive	proximal	Sex-combined
10454_99	NA	proximal	Sex-combined
10455_196	positive	proximal	Sex-combined
10462_14	NA	proximal	Sex-combined
10464_6	positive	proximal	Sex-combined
10490_3	NA	proximal	Sex-combined
10506_53	NA	proximal	Sex-combined
10510_62	NA	proximal	Sex-combined
10511_10	negative	proximal	Sex-combined
10514_5	negative	proximal	Sex-combined
10527_22	positive	proximal	Sex-combined
10531_18	NA	proximal	Sex-combined
10534_40	NA	proximal	Sex-combined
10553_8	NA	proximal	Sex-combined
10554_23	positive	proximal	Sex-combined
10557_6	positive	proximal	Sex-combined
10561_5	positive	proximal	Sex-combined
10562_42	NA	proximal	Sex-combined
10563_13	NA	proximal	Sex-combined
10572_65	negative	proximal	Sex-combined
10574_10	negative	proximal	Sex-combined
10580_14	NA	proximal	Sex-combined
10582_36	positive	proximal	Sex-combined
10600_24	negative	proximal	Sex-combined
10605_22	positive	proximal	Sex-combined
10606_34	negative	proximal	Sex-combined
10608_9	negative	proximal	Sex-combined
10612_18	negative	proximal	Sex-combined
10613_33	negative	proximal	Sex-combined
10615_18	positive	proximal	Sex-combined
10618_190	NA	proximal	Sex-combined
10620_21	negative	proximal	Sex-combined
10623_19	NA	proximal	Sex-combined
10627_87	negative	proximal	Sex-combined
10637_50	NA	proximal	Sex-combined
10638_1	NA	proximal	Sex-combined
10643_16	positive	proximal	Sex-combined
10647_18	negative	proximal	Sex-combined
10668_5	NA	proximal	Sex-combined
10672_75	positive	proximal	Sex-combined
10675_223	positive	proximal	Sex-combined
10677_9	positive	proximal	Sex-combined
10695_12	NA	proximal	Sex-combined
10700_10	NA	proximal	Sex-combined
10704_91	NA	proximal	Sex-combined
10708_3	negative	proximal	Sex-combined
10710_23	NA	proximal	Sex-combined
10713_151	NA	proximal	Sex-combined
10714_7	negative	proximal	Sex-combined
10716_35	positive	proximal	Sex-combined
10722_13	NA	proximal	Sex-combined
10731_10	positive	proximal	Sex-combined
10734_339	positive	proximal	Sex-combined
10737_96	NA	proximal	Sex-combined
10752_8	positive	proximal	Sex-combined
10753_31	positive	proximal	Sex-combined
10754_113	negative	proximal	Sex-combined
10760_107	positive	proximal	Sex-combined
10761_5	NA	proximal	Sex-combined
10762_2	positive	proximal	Sex-combined
10772_21	negative	proximal	Sex-combined
10785_8	NA	proximal	Sex-combined
10798_4	NA	proximal	Sex-combined
10800_15	positive	proximal	Sex-combined
10814_7	positive	proximal	Sex-combined
10815_2	positive	proximal	Sex-combined
10816_150	negative	proximal	Sex-combined
10817_26	positive	proximal	Sex-combined
10818_36	positive	proximal	Sex-combined
10833_64	positive	proximal	Sex-combined
10835_25	positive	proximal	Sex-combined
10842_7	positive	proximal	Sex-combined
10847_1	positive	proximal	Sex-combined
10852_114	positive	proximal	Sex-combined
10866_60	negative	proximal	Sex-combined
10880_38	negative	proximal	Sex-combined
10885_36	positive	proximal	Sex-combined
10890_135	negative	proximal	Sex-combined
10903_50	positive	proximal	Sex-combined
10907_116	negative	proximal	Sex-combined
10916_44	positive	proximal	Sex-combined
10924_258	negative	proximal	Sex-combined
10938_13	negative	proximal	Sex-combined
10939_16	positive	proximal	Sex-combined
10953_14	positive	proximal	Sex-combined
10956_82	NA	proximal	Sex-combined
10961_15	positive	proximal	Sex-combined
10977_55	positive	proximal	Sex-combined
10981_56	NA	proximal	Sex-combined
10990_21	positive	proximal	Sex-combined
11067_13	NA	proximal	Sex-combined
11071_1	NA	proximal	Sex-combined
11096_57	negative	proximal	Sex-combined
11103_24	positive	proximal	Sex-combined
11107_25	NA	proximal	Sex-combined
11109_56	negative	proximal	Sex-combined
11112_18	NA	proximal	Sex-combined
11118_107	positive	proximal	Sex-combined
11120_49	negative	proximal	Sex-combined
11122_97	NA	proximal	Sex-combined
11126_102	NA	proximal	Sex-combined
11128_29	positive	proximal	Sex-combined
11130_158	negative	proximal	Sex-combined
11134_30	positive	proximal	Sex-combined
11135_5	NA	proximal	Sex-combined
11140_56	positive	proximal	Sex-combined
11142_11	negative	proximal	Sex-combined
11143_32	positive	proximal	Sex-combined
11144_10	NA	proximal	Sex-combined
11145_72	negative	proximal	Sex-combined
11146_4	NA	proximal	Sex-combined
11147_17	NA	proximal	Sex-combined
11149_3	NA	proximal	Sex-combined
11152_46	positive	proximal	Sex-combined
11154_3	NA	proximal	Sex-combined
11155_16	NA	proximal	Sex-combined
11160_56	positive	proximal	Sex-combined
11163_7	NA	proximal	Sex-combined
11167_6	positive	proximal	Sex-combined
11168_3	NA	proximal	Sex-combined
11174_8	NA	proximal	Sex-combined
11177_16	positive	proximal	Sex-combined
11178_21	negative	proximal	Sex-combined
11179_7	NA	proximal	Sex-combined
11201_19	NA	proximal	Sex-combined
11205_10	NA	proximal	Sex-combined
11207_3	positive	proximal	Sex-combined
11208_15	positive	proximal	Sex-combined
11211_7	positive	proximal	Sex-combined
11212_7	negative	proximal	Sex-combined
11218_84	negative	proximal	Sex-combined
11219_95	negative	proximal	Sex-combined
11226_16	negative	proximal	Sex-combined
11237_49	positive	proximal	Sex-combined
11239_49	positive	proximal	Sex-combined
11241_8	negative	proximal	Sex-combined
11242_33	NA	proximal	Sex-combined
11243_90	positive	proximal	Sex-combined
11254_13	positive	proximal	Sex-combined
11257_1	negative	proximal	Sex-combined
11260_47	negative	proximal	Sex-combined
11262_39	positive	proximal	Sex-combined
11265_8	NA	proximal	Sex-combined
11266_8	positive	proximal	Sex-combined
11270_17	NA	proximal	Sex-combined
11273_176	positive	proximal	Sex-combined
11275_94	positive	proximal	Sex-combined
11277_23	positive	proximal	Sex-combined
11278_4	positive	proximal	Sex-combined
11280_6	NA	proximal	Sex-combined
11283_13	positive	proximal	Sex-combined
11284_24	NA	proximal	Sex-combined
11286_78	positive	proximal	Sex-combined
11287_14	positive	proximal	Sex-combined
11288_26	negative	proximal	Sex-combined
11289_31	NA	proximal	Sex-combined
11292_13	positive	proximal	Sex-combined
11293_14	negative	proximal	Sex-combined
11300_32	positive	proximal	Sex-combined
11302_237	positive	proximal	Sex-combined
11303_7	positive	proximal	Sex-combined
11308_8	positive	proximal	Sex-combined
11313_100	positive	proximal	Sex-combined
11319_106	NA	proximal	Sex-combined
11320_29	positive	proximal	Sex-combined
11325_8	positive	proximal	Sex-combined
11327_56	positive	proximal	Sex-combined
11330_15	negative	proximal	Sex-combined
11336_9	NA	proximal	Sex-combined
11347_9	negative	proximal	Sex-combined
11350_30	NA	proximal	Sex-combined
11352_42	NA	proximal	Sex-combined
11354_21	NA	proximal	Sex-combined
11360_39	negative	proximal	Sex-combined
11361_73	NA	proximal	Sex-combined
11369_23	positive	proximal	Sex-combined
11377_19	negative	proximal	Sex-combined
11378_37	NA	proximal	Sex-combined
11390_24	positive	proximal	Sex-combined
11391_69	positive	proximal	Sex-combined
11396_39	positive	proximal	Sex-combined
11402_17	NA	proximal	Sex-combined
11406_82	positive	proximal	Sex-combined
11407_57	NA	proximal	Sex-combined
11421_10	positive	proximal	Sex-combined
11422_2	NA	proximal	Sex-combined
11424_4	positive	proximal	Sex-combined
11425_31	positive	proximal	Sex-combined
11430_49	positive	proximal	Sex-combined
11431_235	positive	proximal	Sex-combined
11439_88	positive	proximal	Sex-combined
11440_58	negative	proximal	Sex-combined
11444_49	NA	proximal	Sex-combined
11448_34	positive	proximal	Sex-combined
11454_87	negative	proximal	Sex-combined
11456_2	positive	proximal	Sex-combined
11457_53	positive	proximal	Sex-combined
11468_15	positive	proximal	Sex-combined
11476_43	NA	proximal	Sex-combined
11486_26	NA	proximal	Sex-combined
11490_42	NA	proximal	Sex-combined
11514_196	negative	proximal	Sex-combined
11530_37	positive	proximal	Sex-combined
11531_24	negative	proximal	Sex-combined
11534_6	positive	proximal	Sex-combined
11536_9	negative	proximal	Sex-combined
11542_11	positive	proximal	Sex-combined
11546_7	NA	proximal	Sex-combined
11547_84	positive	proximal	Sex-combined
11549_6	positive	proximal	Sex-combined
11551_16	negative	proximal	Sex-combined
11556_19	positive	proximal	Sex-combined
11557_3	negative	proximal	Sex-combined
11565_58	NA	proximal	Sex-combined
11567_23	NA	proximal	Sex-combined
11568_2	negative	proximal	Sex-combined
11572_4	NA	proximal	Sex-combined
11573_3	NA	proximal	Sex-combined
11591_43	NA	proximal	Sex-combined
11593_21	NA	proximal	Sex-combined
11601_26	negative	proximal	Sex-combined
11617_1	NA	proximal	Sex-combined
11636_33	NA	proximal	Sex-combined
11643_73	positive	proximal	Sex-combined
11646_4	negative	proximal	Sex-combined
11649_3	negative	proximal	Sex-combined
11654_77	NA	proximal	Sex-combined
11656_110	positive	proximal	Sex-combined
11657_86	NA	proximal	Sex-combined
11659_31	positive	proximal	Sex-combined
11664_32	NA	proximal	Sex-combined
11666_72	positive	proximal	Sex-combined
11667_29	NA	proximal	Sex-combined
11671_19	NA	proximal	Sex-combined
11682_7	positive	proximal	Sex-combined
11683_19	NA	proximal	Sex-combined
11692_21	negative	proximal	Sex-combined
11696_7	negative	proximal	Sex-combined
11716_28	NA	proximal	Sex-combined
11837_7	NA	proximal	Sex-combined
11838_130	positive	proximal	Sex-combined
11926_23	positive	proximal	Sex-combined
11955_1	negative	proximal	Sex-combined
11969_5	negative	proximal	Sex-combined
12008_3	positive	proximal	Sex-combined
12020_39	NA	proximal	Sex-combined
12022_12	negative	proximal	Sex-combined
