sequence_id	protein	gene	adiposity	group
9487_60	Growth_hormone_releasing_factor	GHRH	BMI	Male
10012_5	SPDEF	SPDEF	BMI	Male
10014_31	SLUG	SNAI2	BMI	Male
10036_201	ZHX3	ZHX3	BMI	Male
10044_12	WN10A	WNT10A	BMI	Male
10064_12	RBBP9	RBBP9	BMI	Male
10078_5	BAG3	BAG3	BMI	Male
10342_55	PIAS4	PIAS4	BMI	Male
10396_6	Mcl_1	MCL1	BMI	Male
10435_2	ASPG	AGA	BMI	Male
10440_26	ACAM	CLMP	BMI	Male
10451_11	NUCB1	NUCB1	BMI	Male
10464_6	ANTR1	ANTXR1	BMI	Male
10507_166	sperm_protein_10	ACRV1	BMI	Male
10539_30	C99L2	CD99L2	BMI	Male
10563_13	LYSM3	LYSMD3	BMI	Male
10565_19	SLIK3	SLITRK3	BMI	Male
10572_65	CST8	CST8	BMI	Male
10575_31	PUF60	PUF60	BMI	Male
10584_7	NDUS4	NDUFS4	BMI	Male
10603_1	HIS3	HTN3	BMI	Male
10618_190	megalin	LRP2	BMI	Male
10638_1	TINF2	TINF2	BMI	Male
10666_7	GNPTG	GNPTG	BMI	Male
10695_12	WF10B	WFDC10B	BMI	Male
10702_1	COSA1	COL28A1	BMI	Male
10754_113	Prokineticin_2	PROK2	BMI	Male
10760_107	GRIA4	GRIA4	BMI	Male
10866_60	P4R3A	SMEK1	BMI	Male
10907_116	NTRI	NTM	BMI	Male
10990_21	LRRK2	LRRK2	BMI	Male
11094_104	LPPL	CLC	BMI	Male
11098_1	PDXK	PDXK	BMI	Male
11107_25	TEN3	TENM3	BMI	Male
11117_2	SPT20	SPATA20	BMI	Male
11138_16	RUNX3	RUNX3	BMI	Male
11146_4	TBX22	TBX22	BMI	Male
11164_7	TEN2	TENM2	BMI	Male
11175_45	PCAT2	LPCAT2	BMI	Male
11185_145	GCH1	GCH1	BMI	Male
11196_31	Collagen_alpha_3_VI_	COL6A3	BMI	Male
11198_37	CR3L1	CREB3L1	BMI	Male
11202_70	TBX5	TBX5	BMI	Male
11208_15	NAGPA	NAGPA	BMI	Male
11214_40	DNJB9	DNAJB9	BMI	Male
11220_53	CJ105	C10orf105	BMI	Male
11239_49	TMPS6	TMPRSS6	BMI	Male
11247_20	NAGS	NAGS	BMI	Male
11263_57	CASQ1	CASQ1	BMI	Male
11270_17	CHC10	CHCHD10	BMI	Male
11280_6	DCE1	GAD1	BMI	Male
11284_24	LAIR1	LAIR1	BMI	Male
11311_79	RAG_1	RAG1	BMI	Male
11313_100	PHS	PCBD1	BMI	Male
11320_29	CHFR	CHFR	BMI	Male
11324_3	PXDNL	PXDNL	BMI	Male
11330_15	CSK2B	CSNK2B	BMI	Male
11334_7	LIRB3	LILRB3	BMI	Male
11352_42	TITIN	TTN	BMI	Male
11365_17	TEN4	TENM4	BMI	Male
11371_1	GP101	GPR101	BMI	Male
11387_3	ATF6B	ATF6B	BMI	Male
11407_57	PLS3	PLSCR3	BMI	Male
11424_4	FAAA	FAH	BMI	Male
11432_11	PQBP1	PQBP1	BMI	Male
11436_6	AINX	INA	BMI	Male
11440_58	SOCS_3	SOCS3	BMI	Male
11462_8	RBM9	RBFOX2	BMI	Male
11547_84	MUSK	MUSK	BMI	Male
11556_19	ARFG1	ARFGAP1	BMI	Male
11557_3	SMUF1	SMURF1	BMI	Male
11560_76	NFAC4	NFATC4	BMI	Male
11567_23	ZNF10	ZNF10	BMI	Male
11573_3	SRSF6	SRSF6	BMI	Male
11590_5	RBM23	RBM23	BMI	Male
11591_43	PRC1	PRC1	BMI	Male
11593_21	MIG	CXCL9	BMI	Male
11601_26	DHX8	DHX8	BMI	Male
11607_15	BRD1	BRD1	BMI	Male
11616_9	HSF1	HSF1	BMI	Male
11617_1	LFA_1_alpha_L_chain	ITGAL	BMI	Male
11618_83	MYB	MYB	BMI	Male
11667_29	TENC1	TNS2	BMI	Male
11671_19	BRPF1	BRPF1	BMI	Male
11672_17	KI16B	KIF16B	BMI	Male
11690_47	APC7	ANAPC7	BMI	Male
11692_21	SHC4	SHC4	BMI	Male
11696_7	RABP2	CRABP2	BMI	Male
11715_1	PO2F1	POU2F1	BMI	Male
11872_9	PCDGD	PCDHGB1	BMI	Male
11952_1	IGDC3	IGDCC3	BMI	Male
11955_1	RHG01	ARHGAP1	BMI	Male
12329_21	KS6A1	RPS6KA1	BMI	Male
12370_30	Apo_F	APOF	BMI	Male
12373_73	TRA2B	TRA2B	BMI	Male
12389_4	ORC6	ORC6L	BMI	Male
12400_25	UBE2T	UBE2T	BMI	Male
12403_30	RB39B	RAB39B	BMI	Male
12417_46	TPRKB	TPRKB	BMI	Male
12437_18	ULK3	ULK3	BMI	Male
12438_127	3MG	MPG	BMI	Male
12452_32	SV422	SUV420H2	BMI	Male
12455_48	MYNN	MYNN	BMI	Male
12463_7	KLH13	KLHL13	BMI	Male
12471_47	STAU1	STAU1	BMI	Male
12473_48	KCTD5	KCTD5	BMI	Male
12476_50	TIGAR	TIGAR	BMI	Male
12478_15	RL30	RPL30	BMI	Male
12488_9	MCTS1	MCTS1	BMI	Male
12503_5	SPR1	GPR68	BMI	Male
12510_3	STAP1	STAP1	BMI	Male
12516_13	TEAD4	TEAD4	BMI	Male
12527_50	THA	THRA	BMI	Male
12528_40	WRIP1	WRNIP1	BMI	Male
12533_135	CYH2	CYTH2	BMI	Male
12534_10	CACO2	CALCOCO2	BMI	Male
12540_25	RHOG	RHOG	BMI	Male
12553_5	VRK1	VRK1	BMI	Male
12572_236	EFS	EFS	BMI	Male
12574_36	Endothelin_2	EDN2	BMI	Male
12618_50	Aldo_keto_reductase_1C1	AKR1C1	BMI	Male
12626_6	SENP7	SENP7	BMI	Male
12661_44	GBRL1	GABARAPL1	BMI	Male
12664_19	PTN13	PTPN13	BMI	Male
12678_66	SNRPA	SNRPA	BMI	Male
12683_156	DPYL5	DPYSL5	BMI	Male
12700_9	ACLY	ACLY	BMI	Male
12705_9	HERC1	HERC1	BMI	Male
12712_9	HM20A	HMG20A	BMI	Male
12716_3	ZN175	ZNF175	BMI	Male
12721_4	TAXB1	TAX1BP1	BMI	Male
12735_39	CSDE1	CSDE1	BMI	Male
12738_43	NISCH	NISCH	BMI	Male
12743_18	BAG5	BAG5	BMI	Male
12750_9	LFA_1_beta_2	ITGB2	BMI	Male
12751_26	ZHX1	ZHX1	BMI	Male
12758_47	GRID2	GRID2	BMI	Male
12759_47	DRBP76	ILF3	BMI	Male
12771_19	ZN180	ZNF180	BMI	Male
12775_6	HMGB3	HMGB3	BMI	Male
12795_2	ZN566	ZNF566	BMI	Male
12801_33	IRF2	IRF2	BMI	Male
12803_9	ZN329	ZNF329	BMI	Male
12807_89	RHG30	ARHGAP30	BMI	Male
12811_55	ZN415	ZNF415	BMI	Male
12817_1	GEM	GEM	BMI	Male
12830_4	SAP18	SAP18	BMI	Male
12844_10	BAG4	BAG4	BMI	Male
12848_9	ARHG2	ARHGEF2	BMI	Male
12860_7	cAMP_regulated_phosphoprotein_21	ARPP21	BMI	Male
12875_28	UBTD2	UBTD2	BMI	Male
12880_1	SV2A	SV2A	BMI	Male
12882_7	PAR11	PARP11	BMI	Male
12892_10	SYTL1	SYTL1	BMI	Male
