sequence_id	protein	gene	adiposity	group	outcome
10015_119	KCAB2	KCNAB2	BMI	Female	proximal
10063_10	FANCL	FANCL	BMI	Female	proximal
10063_10	FANCL	FANCL	BMI	Female	rectal
10361_25	OAS1	OAS1	BMI	Female	distal
10425_3	B4GT5	B4GALT5	BMI	Female	rectal
10462_14	INSL5	INSL5	BMI	Female	distal
10490_3	RPN1	RPN1	BMI	Female	overall
10563_13	LYSM3	LYSMD3	BMI	Female	proximal
10618_190	megalin	LRP2	BMI	Female	proximal
10618_190	megalin	LRP2	BMI	Female	rectal
10621_26	PRR16	PRR16	BMI	Female	colon
10638_1	TINF2	TINF2	BMI	Female	distal
10713_151	CLM7	CD300LB	BMI	Female	colon
10713_151	CLM7	CD300LB	BMI	Female	distal
10842_7	GCNT4	GCNT4	BMI	Female	rectal
11098_1	PDXK	PDXK	BMI	Female	colon
11112_18	KISHA	TMEM167A	BMI	Female	proximal
11126_102	TRIO	TRIO	BMI	Female	distal
11146_4	TBX22	TBX22	BMI	Female	proximal
11149_3	TLR1	TLR1	BMI	Female	rectal
11155_16	CO6A5	COL6A5	BMI	Female	overall
11155_16	CO6A5	COL6A5	BMI	Female	proximal
11163_7	F162B	FAM162B	BMI	Female	distal
11168_3	MEG10	MEGF10	BMI	Female	proximal
11205_10	Integrin_beta_7	ITGB7	BMI	Female	proximal
11284_24	LAIR1	LAIR1	BMI	Female	proximal
11289_31	KC1D	CSNK1D	BMI	Female	overall
11289_31	KC1D	CSNK1D	BMI	Female	distal
11289_31	KC1D	CSNK1D	BMI	Female	rectal
11350_30	CHIP	STUB1	BMI	Female	colon
11350_30	CHIP	STUB1	BMI	Female	distal
11444_49	RPC6	POLR3F	BMI	Female	distal
11486_26	ZN174	ZNF174	BMI	Female	proximal
11567_23	ZNF10	ZNF10	BMI	Female	overall
11567_23	ZNF10	ZNF10	BMI	Female	colon
11567_23	ZNF10	ZNF10	BMI	Female	distal
11567_23	ZNF10	ZNF10	BMI	Female	proximal
11591_43	PRC1	PRC1	BMI	Female	proximal
11592_1	ELAV1	ELAVL1	BMI	Female	proximal
11593_21	MIG	CXCL9	BMI	Female	proximal
