adiposity	sequence_id	protein	gene	cancer	group
BMI	10362_35	c_Myc	MYC	overall-HRC-EUR	Sex-combined
BMI	10362_35	c_Myc	MYC	distal	Sex-combined
BMI	10462_14	INSL5	INSL5	overall	Sex-combined
BMI	10462_14	INSL5	INSL5	overall-HRC-EUR	Sex-combined
BMI	10462_14	INSL5	INSL5	rectal	Sex-combined
BMI	10490_3	RPN1	RPN1	overall	Sex-combined
BMI	10490_3	RPN1	RPN1	overall-HRC-EUR	Sex-combined
BMI	10490_3	RPN1	RPN1	proximal	Sex-combined
BMI	10530_8	PSB6	PSMB6	overall	Sex-combined
BMI	10530_8	PSB6	PSMB6	overall-HRC-EUR	Sex-combined
BMI	10562_42	NETO2	NETO2	overall	Sex-combined
BMI	10562_42	NETO2	NETO2	overall-HRC-EUR	Sex-combined
BMI	10563_13	LYSM3	LYSMD3	overall-HRC-EUR	Sex-combined
BMI	10563_13	LYSM3	LYSMD3	distal	Sex-combined
BMI	10563_13	LYSM3	LYSMD3	rectal	Sex-combined
BMI	11126_102	TRIO	TRIO	colon	Sex-combined
BMI	11144_10	DB116	DEFB116	overall	Sex-combined
BMI	11144_10	DB116	DEFB116	overall-HRC-EUR	Sex-combined
BMI	11146_4	TBX22	TBX22	distal	Sex-combined
BMI	11146_4	TBX22	TBX22	rectal	Sex-combined
BMI	11149_3	TLR1	TLR1	overall	Sex-combined
BMI	11149_3	TLR1	TLR1	overall-HRC-EUR	Sex-combined
BMI	11168_3	MEG10	MEGF10	overall-HRC-EUR	Sex-combined
BMI	11168_3	MEG10	MEGF10	distal	Sex-combined
BMI	11168_3	MEG10	MEGF10	rectal	Sex-combined
BMI	11284_24	LAIR1	LAIR1	overall-HRC-EUR	Sex-combined
BMI	11284_24	LAIR1	LAIR1	distal	Sex-combined
BMI	11284_24	LAIR1	LAIR1	rectal	Sex-combined
BMI	11289_31	KC1D	CSNK1D	rectal	Sex-combined
BMI	11330_15	CSK2B	CSNK2B	overall	Sex-combined
BMI	11330_15	CSK2B	CSNK2B	overall-HRC-EUR	Sex-combined
BMI	11330_15	CSK2B	CSNK2B	colon	Sex-combined
BMI	11330_15	CSK2B	CSNK2B	rectal	Sex-combined
BMI	11348_132	P4HA2	P4HA2	distal	Sex-combined
BMI	11486_26	ZN174	ZNF174	distal	Sex-combined
BMI	11567_23	ZNF10	ZNF10	overall	Sex-combined
BMI	11567_23	ZNF10	ZNF10	overall-HRC-EUR	Sex-combined
BMI	11567_23	ZNF10	ZNF10	colon	Sex-combined
BMI	11567_23	ZNF10	ZNF10	proximal	Sex-combined
BMI	11567_23	ZNF10	ZNF10	rectal	Sex-combined
BMI	11573_3	SRSF6	SRSF6	overall-HRC-EUR	Sex-combined
BMI	11573_3	SRSF6	SRSF6	proximal	Sex-combined
BMI	11591_43	PRC1	PRC1	distal	Sex-combined
BMI	11591_43	PRC1	PRC1	rectal	Sex-combined
BMI	11593_21	MIG	CXCL9	distal	Sex-combined
BMI	11593_21	MIG	CXCL9	rectal	Sex-combined
BMI	11617_1	LFA_1_alpha_L_chain	ITGAL	overall	Sex-combined
BMI	11617_1	LFA_1_alpha_L_chain	ITGAL	overall-HRC-EUR	Sex-combined
BMI	11617_1	LFA_1_alpha_L_chain	ITGAL	proximal	Sex-combined
BMI	11667_29	TENC1	TNS2	colon	Sex-combined
BMI	11671_19	BRPF1	BRPF1	overall	Sex-combined
BMI	12577_100	FLAP_endonuclease_1	FEN1	colon	Sex-combined
BMI	12647_52	SETD2	SETD2	overall	Sex-combined
BMI	12647_52	SETD2	SETD2	overall-HRC-EUR	Sex-combined
BMI	12647_52	SETD2	SETD2	distal	Sex-combined
BMI	12661_44	GBRL1	GABARAPL1	distal	Sex-combined
BMI	12661_44	GBRL1	GABARAPL1	proximal	Sex-combined
BMI	12661_44	GBRL1	GABARAPL1	rectal	Sex-combined
BMI	12684_5	ADSV	SCIN	rectal	Sex-combined
BMI	12743_18	BAG5	BAG5	colon	Sex-combined
BMI	12743_18	BAG5	BAG5	proximal	Sex-combined
BMI	12750_9	LFA_1_beta_2	ITGB2	overall	Sex-combined
BMI	12750_9	LFA_1_beta_2	ITGB2	overall-HRC-EUR	Sex-combined
BMI	12750_9	LFA_1_beta_2	ITGB2	distal	Sex-combined
BMI	12795_2	ZN566	ZNF566	distal	Sex-combined
BMI	12795_2	ZN566	ZNF566	rectal	Sex-combined
BMI	12842_43	STX10	STX10	proximal	Sex-combined
BMI	12867_40	DYLT3	DYNLT3	proximal	Sex-combined
BMI	12881_17	RDH16	RDH16	overall-HRC-EUR	Sex-combined
BMI	12892_10	SYTL1	SYTL1	overall	Sex-combined
BMI	12904_180	cubilin	CUBN	rectal	Sex-combined
BMI	12940_35	AL3B1	ALDH3B1	rectal	Sex-combined
BMI	13027_20	CBX7	CBX7	rectal	Sex-combined
BMI	13130_150	HXK2	HK2	overall	Sex-combined
BMI	13130_150	HXK2	HK2	overall-HRC-EUR	Sex-combined
BMI	13436_54	MAZ	MAZ	colon	Sex-combined
BMI	13436_54	MAZ	MAZ	rectal	Sex-combined
BMI	13468_5	NEUL4	NEURL4	proximal	Sex-combined
BMI	13481_24	TCEA2	TCEA2	proximal	Sex-combined
BMI	13492_44	HSPA9B	HSPA9	proximal	Sex-combined
BMI	13509_5	SCAM5	SCAMP5	overall	Sex-combined
BMI	13530_5	UR2R	UTS2R	overall	Sex-combined
BMI	13532_25	NEPR1	CNEP1R1	distal	Sex-combined
BMI	13532_25	NEPR1	CNEP1R1	rectal	Sex-combined
BMI	13561_5	5HT6R	HTR6	overall	Sex-combined
BMI	13561_5	5HT6R	HTR6	colon	Sex-combined
BMI	13561_5	5HT6R	HTR6	proximal	Sex-combined
BMI	13587_10	RGAP1	RACGAP1	rectal	Sex-combined
BMI	13729_26	SFXN5	SFXN5	overall	Sex-combined
BMI	13950_9	C43BP	COL4A3BP	distal	Sex-combined
BMI	13992_12	NSF	NSF	colon	Sex-combined
BMI	13992_12	NSF	NSF	distal	Sex-combined
BMI	14115_34	Adrenomedullin	ADM	overall	Sex-combined
BMI	14115_34	Adrenomedullin	ADM	overall-HRC-EUR	Sex-combined
BMI	14115_34	Adrenomedullin	ADM	proximal	Sex-combined
BMI	14615_46	4_KRA24	KRTAP2	rectal	Sex-combined
BMI	15321_8	CPLX2	CPLX2	distal	Sex-combined
BMI	15372_43	BRD2	BRD2	overall-HRC-EUR	Sex-combined
BMI	15372_43	BRD2	BRD2	distal	Sex-combined
BMI	15372_43	BRD2	BRD2	rectal	Sex-combined
BMI	15386_7	FABPA	FABP4	rectal	Sex-combined
BMI	15441_6	SAP3	GM2A	distal	Sex-combined
BMI	15506_34	LRP12	LRP12	overall-HRC-EUR	Sex-combined
BMI	15567_2	CD3_zeta	CD247	rectal	Sex-combined
BMI	15574_37	Cyclin_A	CCNA2	distal	Sex-combined
BMI	15591_28	Glutathione_peroxidase	GPX1	distal	Sex-combined
BMI	15666_21	BMP_2	BMP2	rectal	Sex-combined
BMI	16536_3	HMGA1	HMGA1	proximal	Sex-combined
BMI	17163_117	Annexin_III	ANXA3	overall	Sex-combined
BMI	17329_2	BDH2	BDH2	distal	Sex-combined
BMI	17396_23	ADH1A	ADH1A	overall	Sex-combined
