exposure	direction_group	outcome	group
AARSD1	negative	colon	Sex-combined
ABHD14B	negative	colon	Sex-combined
ACAN	negative	colon	Sex-combined
ACE2	negative	colon	Sex-combined
ACP5	positive	colon	Sex-combined
ACP6	NA	colon	Sex-combined
ACVRL1	negative	colon	Sex-combined
ADAM15	positive	colon	Sex-combined
ADAMTS13	negative	colon	Sex-combined
ADAMTS8	positive	colon	Sex-combined
ADGRG1	negative	colon	Sex-combined
AFP	positive	colon	Sex-combined
AGR3	NA	colon	Sex-combined
AGRP	positive	colon	Sex-combined
AKR1B1	positive	colon	Sex-combined
AKT1S1	NA	colon	Sex-combined
ALCAM	positive	colon	Sex-combined
AMBP	negative	colon	Sex-combined
ANG	negative	colon	Sex-combined
ANGPT1	negative	colon	Sex-combined
ANGPTL1	negative	colon	Sex-combined
ANGPTL2	negative	colon	Sex-combined
ANGPTL7	negative	colon	Sex-combined
ANPEP	negative	colon	Sex-combined
ANXA11	NA	colon	Sex-combined
ANXA3	positive	colon	Sex-combined
ANXA4	NA	colon	Sex-combined
AOC3	negative	colon	Sex-combined
APLP1	positive	colon	Sex-combined
APOM	negative	colon	Sex-combined
APP	negative	colon	Sex-combined
ARG1	negative	colon	Sex-combined
ARHGAP1	NA	colon	Sex-combined
ARHGAP25	NA	colon	Sex-combined
ARSA	negative	colon	Sex-combined
ART3	negative	colon	Sex-combined
ASAH2	negative	colon	Sex-combined
ASGR1	negative	colon	Sex-combined
ATG4A	negative	colon	Sex-combined
ATP5IF1	positive	colon	Sex-combined
ATXN10	negative	colon	Sex-combined
AXL	negative	colon	Sex-combined
B4GAT1	negative	colon	Sex-combined
BACH1	NA	colon	Sex-combined
BAG3	negative	colon	Sex-combined
BANK1	NA	colon	Sex-combined
BAX	NA	colon	Sex-combined
BCAN	negative	colon	Sex-combined
BGN	positive	colon	Sex-combined
BID	NA	colon	Sex-combined
BIN2	NA	colon	Sex-combined
BLMH	negative	colon	Sex-combined
BLVRB	NA	colon	Sex-combined
BMP6	negative	colon	Sex-combined
BOC	positive	colon	Sex-combined
BRK1	positive	colon	Sex-combined
BSG	negative	colon	Sex-combined
BST1	negative	colon	Sex-combined
BST2	negative	colon	Sex-combined
BTC	negative	colon	Sex-combined
BTN2A1	positive	colon	Sex-combined
C1QTNF1	positive	colon	Sex-combined
C2	NA	colon	Sex-combined
C4BPB	negative	colon	Sex-combined
CA1	negative	colon	Sex-combined
CA11	NA	colon	Sex-combined
CA13	negative	colon	Sex-combined
CA14	NA	colon	Sex-combined
CA2	NA	colon	Sex-combined
CA4	negative	colon	Sex-combined
CA5A	negative	colon	Sex-combined
CALB1	negative	colon	Sex-combined
CALCOCO1	negative	colon	Sex-combined
CAMKK1	negative	colon	Sex-combined
CAPG	NA	colon	Sex-combined
CASP10	positive	colon	Sex-combined
CASP2	NA	colon	Sex-combined
CASP3	NA	colon	Sex-combined
CASP8	negative	colon	Sex-combined
CBLIF	positive	colon	Sex-combined
CBLN4	positive	colon	Sex-combined
CC2D1A	NA	colon	Sex-combined
CCDC80	negative	colon	Sex-combined
CCL11	negative	colon	Sex-combined
CCL13	negative	colon	Sex-combined
CCL15	negative	colon	Sex-combined
CCL16	positive	colon	Sex-combined
CCL18	negative	colon	Sex-combined
CCL24	negative	colon	Sex-combined
CCL25	negative	colon	Sex-combined
