exposure	direction_group	outcome	group
ACE2	negative	distal	Sex-combined
ACP5	positive	distal	Sex-combined
ACP6	NA	distal	Sex-combined
ACVRL1	negative	distal	Sex-combined
ADAM15	positive	distal	Sex-combined
ADAMTS8	positive	distal	Sex-combined
ADGRB3	negative	distal	Sex-combined
ADGRG1	negative	distal	Sex-combined
ADGRG2	negative	distal	Sex-combined
AFP	positive	distal	Sex-combined
AGR2	negative	distal	Sex-combined
AGR3	NA	distal	Sex-combined
AGRP	positive	distal	Sex-combined
AHSP	negative	distal	Sex-combined
AKR1B1	positive	distal	Sex-combined
AKT1S1	NA	distal	Sex-combined
ALDH1A1	positive	distal	Sex-combined
ALPP	positive	distal	Sex-combined
AMBP	negative	distal	Sex-combined
AMY2A	negative	distal	Sex-combined
AMY2B	negative	distal	Sex-combined
ANGPT2	positive	distal	Sex-combined
ANGPTL1	negative	distal	Sex-combined
ANGPTL7	negative	distal	Sex-combined
ANPEP	negative	distal	Sex-combined
ANXA11	NA	distal	Sex-combined
ANXA3	positive	distal	Sex-combined
ANXA4	NA	distal	Sex-combined
AOC3	negative	distal	Sex-combined
APOM	negative	distal	Sex-combined
AREG	positive	distal	Sex-combined
ARG1	negative	distal	Sex-combined
ARHGAP1	NA	distal	Sex-combined
ARHGAP25	NA	distal	Sex-combined
ARSA	negative	distal	Sex-combined
ARSB	positive	distal	Sex-combined
ART3	negative	distal	Sex-combined
ASAH2	negative	distal	Sex-combined
ASGR1	negative	distal	Sex-combined
ATG4A	negative	distal	Sex-combined
ATOX1	positive	distal	Sex-combined
ATP5IF1	positive	distal	Sex-combined
ATXN10	negative	distal	Sex-combined
AXL	negative	distal	Sex-combined
B4GALT1	positive	distal	Sex-combined
B4GAT1	negative	distal	Sex-combined
BACH1	NA	distal	Sex-combined
BAG3	negative	distal	Sex-combined
BANK1	NA	distal	Sex-combined
BAX	NA	distal	Sex-combined
BCAM	negative	distal	Sex-combined
BID	NA	distal	Sex-combined
BIN2	NA	distal	Sex-combined
BLMH	negative	distal	Sex-combined
BLVRB	NA	distal	Sex-combined
BMP6	negative	distal	Sex-combined
BOC	positive	distal	Sex-combined
BRK1	positive	distal	Sex-combined
BSG	negative	distal	Sex-combined
BST1	positive	distal	Sex-combined
BTC	negative	distal	Sex-combined
BTN2A1	positive	distal	Sex-combined
C1QTNF1	positive	distal	Sex-combined
C2	NA	distal	Sex-combined
C4BPB	negative	distal	Sex-combined
CA1	negative	distal	Sex-combined
CA11	NA	distal	Sex-combined
CA13	negative	distal	Sex-combined
CA14	NA	distal	Sex-combined
CA2	NA	distal	Sex-combined
CA4	negative	distal	Sex-combined
CA5A	positive	distal	Sex-combined
CA6	negative	distal	Sex-combined
CALB1	negative	distal	Sex-combined
CALCA	positive	distal	Sex-combined
CAMKK1	negative	distal	Sex-combined
CANT1	positive	distal	Sex-combined
CAPG	NA	distal	Sex-combined
CASP2	NA	distal	Sex-combined
CASP3	NA	distal	Sex-combined
CASP8	negative	distal	Sex-combined
CBLIF	positive	distal	Sex-combined
CBLN4	positive	distal	Sex-combined
CC2D1A	NA	distal	Sex-combined
CCL11	negative	distal	Sex-combined
CCL14	negative	distal	Sex-combined
CCL16	positive	distal	Sex-combined
CCL17	positive	distal	Sex-combined
CCL24	negative	distal	Sex-combined
CCL25	negative	distal	Sex-combined
CCL26	negative	distal	Sex-combined
CCL27	positive	distal	Sex-combined
CCL28	negative	distal	Sex-combined
CCL3	negative	distal	Sex-combined
CCL7	negative	distal	Sex-combined
CCN1	negative	distal	Sex-combined
CCN2	positive	distal	Sex-combined
CCN4	positive	distal	Sex-combined
CD14	negative	distal	Sex-combined
CD163	positive	distal	Sex-combined
CD164	negative	distal	Sex-combined
CD177	negative	distal	Sex-combined
CD1C	negative	distal	Sex-combined
CD200	negative	distal	Sex-combined
CD207	negative	distal	Sex-combined
CD209	positive	distal	Sex-combined
CD22	positive	distal	Sex-combined
CD244	negative	distal	Sex-combined
CD28	negative	distal	Sex-combined
CD300C	positive	distal	Sex-combined
CD300E	negative	distal	Sex-combined
CD300LG	negative	distal	Sex-combined
CD302	negative	distal	Sex-combined
CD33	negative	distal	Sex-combined
CD34	negative	distal	Sex-combined
CD38	NA	distal	Sex-combined
CD40	negative	distal	Sex-combined
CD46	negative	distal	Sex-combined
CD48	negative	distal	Sex-combined
CD5	negative	distal	Sex-combined
CD55	negative	distal	Sex-combined
CD58	negative	distal	Sex-combined
CD59	positive	distal	Sex-combined
CD79B	negative	distal	Sex-combined
CD84	negative	distal	Sex-combined
CD99L2	negative	distal	Sex-combined
CDC27	NA	distal	Sex-combined
CDC37	NA	distal	Sex-combined
CDCP1	negative	distal	Sex-combined
CDH1	negative	distal	Sex-combined
CDH15	NA	distal	Sex-combined
CDH17	negative	distal	Sex-combined
CDH5	negative	distal	Sex-combined
CDH6	negative	distal	Sex-combined
CDHR1	positive	distal	Sex-combined
CDHR2	negative	distal	Sex-combined
CDKN1A	negative	distal	Sex-combined
CDKN2D	positive	distal	Sex-combined
CDON	negative	distal	Sex-combined
CDSN	positive	distal	Sex-combined
CEACAM1	positive	distal	Sex-combined
CEACAM21	NA	distal	Sex-combined
CEACAM3	NA	distal	Sex-combined
CES1	negative	distal	Sex-combined
CES2	NA	distal	Sex-combined
CES3	negative	distal	Sex-combined
CETN2	positive	distal	Sex-combined
CGREF1	negative	distal	Sex-combined
CHAC2	NA	distal	Sex-combined
CHI3L1	negative	distal	Sex-combined
CHIT1	negative	distal	Sex-combined
CHL1	positive	distal	Sex-combined
CHMP1A	negative	distal	Sex-combined
CHRDL1	negative	distal	Sex-combined
CKAP4	negative	distal	Sex-combined
CKMT1A_CKMT1B	negative	distal	Sex-combined
CLC	negative	distal	Sex-combined
CLEC10A	positive	distal	Sex-combined
CLEC11A	negative	distal	Sex-combined
CLEC14A	negative	distal	Sex-combined
CLEC1A	negative	distal	Sex-combined
CLEC1B	negative	distal	Sex-combined
CLEC4C	negative	distal	Sex-combined
CLEC4D	positive	distal	Sex-combined
CLEC4G	negative	distal	Sex-combined
CLIP2	NA	distal	Sex-combined
CLSTN2	positive	distal	Sex-combined
CLUL1	negative	distal	Sex-combined
CNPY4	NA	distal	Sex-combined
CNTN1	positive	distal	Sex-combined
CNTN2	positive	distal	Sex-combined
CNTN3	negative	distal	Sex-combined
CNTN5	negative	distal	Sex-combined
COL18A1	positive	distal	Sex-combined
COL9A1	positive	distal	Sex-combined
COLEC12	negative	distal	Sex-combined
COMT	NA	distal	Sex-combined
CORO1A	positive	distal	Sex-combined
CPA2	negative	distal	Sex-combined
