exposure	direction_group	outcome	group
AARSD1	negative	distal	Female
ACE2	positive	distal	Female
ACP5	positive	distal	Female
ACP6	NA	distal	Female
ACVRL1	negative	distal	Female
ADAM15	positive	distal	Female
ADAMTS13	positive	distal	Female
ADAMTS8	negative	distal	Female
ADGRB3	negative	distal	Female
AFP	positive	distal	Female
AGR3	NA	distal	Female
AGRP	positive	distal	Female
AKT1S1	NA	distal	Female
ALCAM	negative	distal	Female
ALPP	positive	distal	Female
AMBP	negative	distal	Female
AMIGO2	negative	distal	Female
AMY2B	positive	distal	Female
ANG	positive	distal	Female
ANGPT1	positive	distal	Female
ANGPTL7	negative	distal	Female
ANPEP	negative	distal	Female
ANXA11	NA	distal	Female
ANXA4	NA	distal	Female
AOC3	negative	distal	Female
APLP1	negative	distal	Female
APOM	negative	distal	Female
APRT	positive	distal	Female
AREG	positive	distal	Female
ARG1	negative	distal	Female
ARHGAP1	NA	distal	Female
ARHGAP25	NA	distal	Female
ARSB	negative	distal	Female
ART3	negative	distal	Female
ASAH2	negative	distal	Female
ATG4A	negative	distal	Female
ATP5IF1	positive	distal	Female
ATXN10	negative	distal	Female
AXIN1	positive	distal	Female
AXL	negative	distal	Female
B4GALT1	positive	distal	Female
B4GAT1	negative	distal	Female
BACH1	NA	distal	Female
BAG3	positive	distal	Female
BANK1	NA	distal	Female
BAX	NA	distal	Female
BCAN	negative	distal	Female
BCL2L11	positive	distal	Female
BID	NA	distal	Female
BIN2	NA	distal	Female
BIRC2	positive	distal	Female
BLMH	negative	distal	Female
BLVRB	NA	distal	Female
BMP4	negative	distal	Female
BMP6	negative	distal	Female
BPIFB1	negative	distal	Female
BRK1	positive	distal	Female
BSG	negative	distal	Female
BST1	positive	distal	Female
BTC	negative	distal	Female
BTN2A1	positive	distal	Female
C1QA	positive	distal	Female
C1QTNF1	positive	distal	Female
C2	NA	distal	Female
C4BPB	negative	distal	Female
CA11	NA	distal	Female
CA13	positive	distal	Female
CA14	NA	distal	Female
CA2	NA	distal	Female
CA3	negative	distal	Female
CA5A	positive	distal	Female
CA9	positive	distal	Female
CALB1	negative	distal	Female
CALCA	positive	distal	Female
CAMKK1	negative	distal	Female
CAPG	NA	distal	Female
CASP2	NA	distal	Female
CASP3	NA	distal	Female
CASP8	negative	distal	Female
CBLIF	positive	distal	Female
CC2D1A	NA	distal	Female
CCL11	negative	distal	Female
CCL14	positive	distal	Female
CCL15	negative	distal	Female
CCL16	positive	distal	Female
CCL17	positive	distal	Female
CCL18	negative	distal	Female
CCL2	negative	distal	Female
CCL21	negative	distal	Female
CCL22	positive	distal	Female
CCL24	negative	distal	Female
CCL27	positive	distal	Female
CCL3	negative	distal	Female
CCL5	positive	distal	Female
CCL8	positive	distal	Female
CCN2	positive	distal	Female
CD163	negative	distal	Female
CD164	negative	distal	Female
CD177	negative	distal	Female
CD200	negative	distal	Female
CD207	negative	distal	Female
CD300C	positive	distal	Female
CD300E	negative	distal	Female
CD300LF	positive	distal	Female
CD300LG	negative	distal	Female
CD302	negative	distal	Female
CD33	negative	distal	Female
CD34	negative	distal	Female
CD38	NA	distal	Female
CD40	negative	distal	Female
CD40LG	positive	distal	Female
CD46	negative	distal	Female
CD48	negative	distal	Female
CD55	negative	distal	Female
CD58	negative	distal	Female
CD84	negative	distal	Female
CD99L2	negative	distal	Female
CDC27	NA	distal	Female
CDC37	NA	distal	Female
CDCP1	negative	distal	Female
CDH1	negative	distal	Female
CDH15	NA	distal	Female
CDH17	negative	distal	Female
CDH5	negative	distal	Female
CDH6	negative	distal	Female
CDHR1	positive	distal	Female
CDKN1A	negative	distal	Female
CDKN2D	positive	distal	Female
CDON	negative	distal	Female
CDSN	positive	distal	Female
CEACAM21	NA	distal	Female
CEACAM3	NA	distal	Female
CEACAM5	positive	distal	Female
CEACAM8	positive	distal	Female
CEBPB	positive	distal	Female
CEP20	positive	distal	Female
CERT	positive	distal	Female
CES1	negative	distal	Female
CES2	NA	distal	Female
CES3	negative	distal	Female
CETN2	positive	distal	Female
CGREF1	negative	distal	Female
CHAC2	NA	distal	Female
CHGB	negative	distal	Female
CHIT1	negative	distal	Female
CHMP1A	positive	distal	Female
CHRDL2	negative	distal	Female
CIAPIN1	positive	distal	Female
CKAP4	positive	distal	Female
CKMT1A_CKMT1B	negative	distal	Female
CLC	negative	distal	Female
CLEC11A	negative	distal	Female
CLEC14A	negative	distal	Female
CLEC4A	negative	distal	Female
CLEC4C	negative	distal	Female
CLEC4D	positive	distal	Female
CLEC7A	negative	distal	Female
CLIP2	NA	distal	Female
CLSTN2	positive	distal	Female
CLUL1	negative	distal	Female
CNDP1	negative	distal	Female
CNPY4	NA	distal	Female
CNTN2	positive	distal	Female
CNTN5	negative	distal	Female
COL18A1	positive	distal	Female
COL6A3	negative	distal	Female
COL9A1	positive	distal	Female
COLEC12	negative	distal	Female
COMP	negative	distal	Female
COMT	NA	distal	Female
CORO1A	positive	distal	Female
COX5B	negative	distal	Female
CPB1	positive	distal	Female
CPM	positive	distal	Female
CPVL	negative	distal	Female
CR2	positive	distal	Female
CRADD	negative	distal	Female
CREG1	negative	distal	Female
CRH	positive	distal	Female
CRIP2	positive	distal	Female
CRTAC1	NA	distal	Female
CSF1	positive	distal	Female
CST5	negative	distal	Female
CST6	negative	distal	Female
CST7	positive	distal	Female
CTF1	NA	distal	Female
CTRB1	negative	distal	Female
CTSB	positive	distal	Female
CTSC	negative	distal	Female
CTSD	positive	distal	Female
CTSO	negative	distal	Female
CTSS	negative	distal	Female
CTSV	positive	distal	Female
CTSZ	negative	distal	Female
CXADR	negative	distal	Female
CXCL1	positive	distal	Female
CXCL10	negative	distal	Female
CXCL13	positive	distal	Female
CXCL14	NA	distal	Female
CXCL17	positive	distal	Female
CXCL3	negative	distal	Female
CXCL5	negative	distal	Female
DAB2	NA	distal	Female
DAPP1	NA	distal	Female
DARS1	positive	distal	Female
DCBLD2	positive	distal	Female
DCXR	positive	distal	Female
DDAH1	positive	distal	Female
DDC	positive	distal	Female
DECR1	positive	distal	Female
DEFA1_DEFA1B	negative	distal	Female
DEFB4A_DEFB4B	positive	distal	Female
DFFA	NA	distal	Female
DKK1	positive	distal	Female
DKK4	positive	distal	Female
DKKL1	negative	distal	Female
DLK1	negative	distal	Female
DNAJB1	positive	distal	Female
DNER	positive	distal	Female
DOK2	positive	distal	Female
DPP4	positive	distal	Female
DPP6	positive	distal	Female
DPP7	negative	distal	Female
DPT	NA	distal	Female
DPY30	NA	distal	Female
DRAXIN	positive	distal	Female
DRG2	negative	distal	Female
DSG3	negative	distal	Female
DSG4	negative	distal	Female
DTX3	positive	distal	Female
DUSP3	NA	distal	Female
EBAG9	positive	distal	Female
EBI3_IL27	positive	distal	Female
EDIL3	NA	distal	Female
EFEMP1	negative	distal	Female
EFNA1	positive	distal	Female
EGF	positive	distal	Female
EGFR	negative	distal	Female
EGLN1	negative	distal	Female
