exposure	direction_group	outcome	group
ACAA1	negative	distal	Male
ACE2	negative	distal	Male
ACP6	NA	distal	Male
ADA2	positive	distal	Male
ADAM15	positive	distal	Male
ADAM22	positive	distal	Male
ADAMTS13	negative	distal	Male
ADAMTS15	positive	distal	Male
ADAMTS8	positive	distal	Male
ADGRE2	positive	distal	Male
ADH4	negative	distal	Male
AGR3	NA	distal	Male
AGRN	positive	distal	Male
AGRP	negative	distal	Male
AHSP	negative	distal	Male
AKR1B1	positive	distal	Male
AKT1S1	NA	distal	Male
ALCAM	positive	distal	Male
ALPP	positive	distal	Male
AMBP	negative	distal	Male
AMY2A	negative	distal	Male
AMY2B	negative	distal	Male
ANG	negative	distal	Male
ANGPT2	positive	distal	Male
ANGPTL1	negative	distal	Male
ANGPTL7	negative	distal	Male
ANPEP	negative	distal	Male
ANXA11	NA	distal	Male
ANXA3	negative	distal	Male
ANXA4	NA	distal	Male
AOC3	negative	distal	Male
APEX1	positive	distal	Male
APOM	negative	distal	Male
APP	negative	distal	Male
ARHGAP1	NA	distal	Male
ARHGAP25	NA	distal	Male
ARSA	negative	distal	Male
ARSB	positive	distal	Male
ART3	negative	distal	Male
ASAH2	negative	distal	Male
ASGR1	negative	distal	Male
ATG4A	negative	distal	Male
ATXN10	negative	distal	Male
AXL	negative	distal	Male
B4GAT1	negative	distal	Male
BACH1	NA	distal	Male
BAG3	negative	distal	Male
BANK1	NA	distal	Male
BAX	NA	distal	Male
BCAM	negative	distal	Male
BCAN	positive	distal	Male
BCL2L11	negative	distal	Male
BGN	positive	distal	Male
BID	NA	distal	Male
BIN2	NA	distal	Male
BLMH	positive	distal	Male
BLVRB	NA	distal	Male
BMP4	positive	distal	Male
BOC	positive	distal	Male
BPIFB1	positive	distal	Male
BSG	negative	distal	Male
BST1	positive	distal	Male
BST2	positive	distal	Male
BTC	positive	distal	Male
BTN2A1	positive	distal	Male
BTN3A2	positive	distal	Male
C1QA	negative	distal	Male
C2	NA	distal	Male
C4BPB	negative	distal	Male
CA1	negative	distal	Male
CA11	NA	distal	Male
CA13	negative	distal	Male
CA14	NA	distal	Male
CA2	NA	distal	Male
CA3	positive	distal	Male
CA4	negative	distal	Male
CA5A	negative	distal	Male
CA6	negative	distal	Male
CALB1	negative	distal	Male
CALCOCO1	positive	distal	Male
CAMKK1	negative	distal	Male
CAPG	NA	distal	Male
CASP2	NA	distal	Male
CASP3	NA	distal	Male
CBLIF	positive	distal	Male
CBLN4	positive	distal	Male
CC2D1A	NA	distal	Male
CCL11	negative	distal	Male
CCL13	positive	distal	Male
CCL14	negative	distal	Male
CCL16	positive	distal	Male
CCL19	positive	distal	Male
CCL2	positive	distal	Male
CCL24	negative	distal	Male
CCL26	negative	distal	Male
CCL28	negative	distal	Male
CCL3	negative	distal	Male
CCL4	negative	distal	Male
CCL5	negative	distal	Male
CCL7	negative	distal	Male
CCL8	negative	distal	Male
CCN1	negative	distal	Male
