exposure	direction_group	outcome	group
AARSD1	negative	overall	Sex-combined
ABHD14B	negative	overall	Sex-combined
ACAA1	negative	overall	Sex-combined
ACE2	negative	overall	Sex-combined
ACP5	positive	overall	Sex-combined
ACP6	NA	overall	Sex-combined
ACY1	negative	overall	Sex-combined
ADAMTS13	negative	overall	Sex-combined
ADAMTS15	positive	overall	Sex-combined
ADAMTS8	negative	overall	Sex-combined
ADGRG1	negative	overall	Sex-combined
ADGRG2	positive	overall	Sex-combined
AFP	positive	overall	Sex-combined
AGER	negative	overall	Sex-combined
AGR3	NA	overall	Sex-combined
AKR1B1	positive	overall	Sex-combined
AKT1S1	NA	overall	Sex-combined
ALCAM	positive	overall	Sex-combined
ALDH1A1	negative	overall	Sex-combined
ALPP	negative	overall	Sex-combined
AMBP	negative	overall	Sex-combined
ANGPT1	negative	overall	Sex-combined
ANGPT2	positive	overall	Sex-combined
ANGPTL1	negative	overall	Sex-combined
ANGPTL2	negative	overall	Sex-combined
ANGPTL3	negative	overall	Sex-combined
ANGPTL7	negative	overall	Sex-combined
ANPEP	negative	overall	Sex-combined
ANXA11	NA	overall	Sex-combined
ANXA3	positive	overall	Sex-combined
ANXA4	NA	overall	Sex-combined
AOC3	negative	overall	Sex-combined
APOM	negative	overall	Sex-combined
APP	negative	overall	Sex-combined
APRT	positive	overall	Sex-combined
AREG	positive	overall	Sex-combined
ARG1	negative	overall	Sex-combined
ARHGAP1	NA	overall	Sex-combined
ARHGAP25	NA	overall	Sex-combined
ARSA	negative	overall	Sex-combined
ART3	negative	overall	Sex-combined
ASAH2	negative	overall	Sex-combined
ASGR1	negative	overall	Sex-combined
ATG4A	negative	overall	Sex-combined
ATP5IF1	positive	overall	Sex-combined
ATXN10	negative	overall	Sex-combined
B4GAT1	negative	overall	Sex-combined
BACH1	NA	overall	Sex-combined
BANK1	NA	overall	Sex-combined
BAX	NA	overall	Sex-combined
BCAM	negative	overall	Sex-combined
BCAN	negative	overall	Sex-combined
BCL2L11	positive	overall	Sex-combined
BGN	positive	overall	Sex-combined
BID	NA	overall	Sex-combined
BIN2	NA	overall	Sex-combined
BLMH	negative	overall	Sex-combined
BLVRB	NA	overall	Sex-combined
BMP4	positive	overall	Sex-combined
BMP6	negative	overall	Sex-combined
BOC	positive	overall	Sex-combined
BTC	negative	overall	Sex-combined
BTN2A1	positive	overall	Sex-combined
C1QTNF1	positive	overall	Sex-combined
C2	NA	overall	Sex-combined
C4BPB	negative	overall	Sex-combined
CA11	NA	overall	Sex-combined
CA13	negative	overall	Sex-combined
CA14	NA	overall	Sex-combined
CA2	NA	overall	Sex-combined
CA4	negative	overall	Sex-combined
CA5A	negative	overall	Sex-combined
CALB1	negative	overall	Sex-combined
CALCA	positive	overall	Sex-combined
CALCOCO1	negative	overall	Sex-combined
CAMKK1	negative	overall	Sex-combined
CANT1	negative	overall	Sex-combined
CAPG	NA	overall	Sex-combined
CASP10	positive	overall	Sex-combined
CASP2	NA	overall	Sex-combined
CASP3	NA	overall	Sex-combined
CASP8	negative	overall	Sex-combined
CC2D1A	NA	overall	Sex-combined
CCL11	negative	overall	Sex-combined
CCL13	negative	overall	Sex-combined
CCL15	negative	overall	Sex-combined
CCL18	negative	overall	Sex-combined
CCL2	positive	overall	Sex-combined
CCL24	negative	overall	Sex-combined
CCL25	negative	overall	Sex-combined
CCL26	negative	overall	Sex-combined
CCL28	negative	overall	Sex-combined
CCL3	negative	overall	Sex-combined
CCL5	negative	overall	Sex-combined
CCL8	negative	overall	Sex-combined
CCN1	negative	overall	Sex-combined
CCN4	positive	overall	Sex-combined
CD14	negative	overall	Sex-combined
CD177	negative	overall	Sex-combined
CD207	negative	overall	Sex-combined
CD209	positive	overall	Sex-combined
CD22	positive	overall	Sex-combined
CD300C	positive	overall	Sex-combined
CD300LG	negative	overall	Sex-combined
CD33	negative	overall	Sex-combined
CD38	NA	overall	Sex-combined
CD40LG	negative	overall	Sex-combined
CD5	negative	overall	Sex-combined
CD55	negative	overall	Sex-combined
CD63	negative	overall	Sex-combined
CD69	negative	overall	Sex-combined
CD74	positive	overall	Sex-combined
CD79B	negative	overall	Sex-combined
CD99L2	negative	overall	Sex-combined
CDC27	NA	overall	Sex-combined
CDC37	NA	overall	Sex-combined
CDCP1	negative	overall	Sex-combined
CDH1	negative	overall	Sex-combined
CDH15	NA	overall	Sex-combined
