exposure	direction_group	outcome	group
AARSD1	negative	overall	Male
ACAA1	negative	overall	Male
ACE2	negative	overall	Male
ACP6	NA	overall	Male
ACVRL1	positive	overall	Male
ADA2	positive	overall	Male
ADAM22	positive	overall	Male
ADAMTS13	negative	overall	Male
ADAMTS15	positive	overall	Male
ADAMTS8	positive	overall	Male
ADGRE2	negative	overall	Male
ADGRG2	positive	overall	Male
ADH4	negative	overall	Male
AFP	positive	overall	Male
AGR3	NA	overall	Male
AGXT	negative	overall	Male
AKR1B1	positive	overall	Male
AKT1S1	NA	overall	Male
ALCAM	positive	overall	Male
ALDH1A1	negative	overall	Male
AMBP	negative	overall	Male
AMN	negative	overall	Male
AMY2A	negative	overall	Male
ANG	positive	overall	Male
ANGPT1	negative	overall	Male
ANGPT2	positive	overall	Male
ANGPTL1	negative	overall	Male
ANGPTL7	negative	overall	Male
ANPEP	negative	overall	Male
ANXA11	NA	overall	Male
ANXA3	positive	overall	Male
ANXA4	NA	overall	Male
AOC3	negative	overall	Male
APBB1IP	positive	overall	Male
APEX1	positive	overall	Male
APLP1	positive	overall	Male
APOM	negative	overall	Male
APP	negative	overall	Male
AREG	negative	overall	Male
ARG1	negative	overall	Male
ARHGAP1	NA	overall	Male
ARHGAP25	NA	overall	Male
ARSA	negative	overall	Male
ARSB	positive	overall	Male
ASAH2	negative	overall	Male
ASGR1	negative	overall	Male
ATG4A	negative	overall	Male
ATOX1	negative	overall	Male
ATP5IF1	positive	overall	Male
ATXN10	negative	overall	Male
B4GAT1	negative	overall	Male
BACH1	NA	overall	Male
BAG3	negative	overall	Male
BANK1	NA	overall	Male
BAX	NA	overall	Male
BCAM	negative	overall	Male
BGN	positive	overall	Male
BID	NA	overall	Male
BIN2	NA	overall	Male
BIRC2	negative	overall	Male
BLMH	positive	overall	Male
BLVRB	NA	overall	Male
BMP4	positive	overall	Male
BOC	positive	overall	Male
BRK1	negative	overall	Male
BTC	negative	overall	Male
BTN2A1	positive	overall	Male
C19orf12	positive	overall	Male
C1QA	negative	overall	Male
C1QTNF1	positive	overall	Male
C2	NA	overall	Male
CA11	NA	overall	Male
CA13	negative	overall	Male
CA14	NA	overall	Male
CA2	NA	overall	Male
CA3	positive	overall	Male
CA4	negative	overall	Male
CA5A	negative	overall	Male
CA6	negative	overall	Male
CA9	negative	overall	Male
CALB1	negative	overall	Male
CALCOCO1	negative	overall	Male
CAMKK1	negative	overall	Male
CANT1	negative	overall	Male
CAPG	NA	overall	Male
CASP10	positive	overall	Male
CASP2	NA	overall	Male
CASP3	NA	overall	Male
CASP8	positive	overall	Male
CBLN4	positive	overall	Male
CC2D1A	NA	overall	Male
CCL11	negative	overall	Male
CCL13	negative	overall	Male
CCL14	negative	overall	Male
CCL15	negative	overall	Male
CCL16	positive	overall	Male
CCL18	positive	overall	Male
CCL19	positive	overall	Male
CCL24	negative	overall	Male
CCL25	negative	overall	Male
CCL26	negative	overall	Male
CCL28	negative	overall	Male
CCL5	negative	overall	Male
CCL8	negative	overall	Male
CCN1	negative	overall	Male
CCN2	negative	overall	Male
CCN4	positive	overall	Male
CD14	negative	overall	Male
CD163	positive	overall	Male
CD164	negative	overall	Male
CD177	negative	overall	Male
CD1C	negative	overall	Male
CD200	negative	overall	Male
CD200R1	negative	overall	Male
CD207	negative	overall	Male
CD209	positive	overall	Male
CD22	positive	overall	Male
CD244	negative	overall	Male
CD274	negative	overall	Male
CD33	positive	overall	Male
CD38	NA	overall	Male
CD40LG	negative	overall	Male
CD5	negative	overall	Male
CD55	negative	overall	Male
CD58	negative	overall	Male
CD59	negative	overall	Male
CD74	positive	overall	Male
CD79B	negative	overall	Male
CD99L2	negative	overall	Male
CDC27	NA	overall	Male
CDC37	NA	overall	Male
CDCP1	positive	overall	Male
CDH1	negative	overall	Male
CDH15	NA	overall	Male
CDH17	negative	overall	Male
CDH2	negative	overall	Male
CDH3	positive	overall	Male
CDH5	negative	overall	Male
CDHR1	positive	overall	Male
CDHR2	negative	overall	Male
