exposure	direction_group	outcome	group
AARSD1	negative	proximal	Female
ABHD14B	negative	proximal	Female
ACE2	negative	proximal	Female
ACP5	positive	proximal	Female
ACP6	NA	proximal	Female
ACVRL1	negative	proximal	Female
ACY1	negative	proximal	Female
ADA2	negative	proximal	Female
ADAM15	positive	proximal	Female
ADAM22	negative	proximal	Female
ADAM23	negative	proximal	Female
ADAMTS13	negative	proximal	Female
ADAMTS8	negative	proximal	Female
ADGRB3	negative	proximal	Female
ADGRE5	negative	proximal	Female
ADH4	positive	proximal	Female
AGR2	positive	proximal	Female
AGR3	NA	proximal	Female
AGRN	positive	proximal	Female
AKT1S1	NA	proximal	Female
ALDH1A1	negative	proximal	Female
ALPP	negative	proximal	Female
AMBP	negative	proximal	Female
AMY2A	positive	proximal	Female
AMY2B	positive	proximal	Female
ANG	negative	proximal	Female
ANGPT1	negative	proximal	Female
ANGPTL2	negative	proximal	Female
ANGPTL3	negative	proximal	Female
ANGPTL7	negative	proximal	Female
ANPEP	negative	proximal	Female
ANXA11	NA	proximal	Female
ANXA4	NA	proximal	Female
APBB1IP	negative	proximal	Female
APOM	negative	proximal	Female
APP	negative	proximal	Female
APRT	positive	proximal	Female
ARG1	negative	proximal	Female
ARHGAP1	NA	proximal	Female
ARHGAP25	NA	proximal	Female
ARSB	negative	proximal	Female
ART3	negative	proximal	Female
ASAH2	negative	proximal	Female
ASGR1	negative	proximal	Female
ATG4A	negative	proximal	Female
B4GALT1	negative	proximal	Female
B4GAT1	negative	proximal	Female
BACH1	NA	proximal	Female
BANK1	NA	proximal	Female
BAX	NA	proximal	Female
BCAN	negative	proximal	Female
BGN	positive	proximal	Female
BID	NA	proximal	Female
BIN2	NA	proximal	Female
BIRC2	positive	proximal	Female
BLMH	negative	proximal	Female
BLVRB	NA	proximal	Female
BMP4	negative	proximal	Female
BMP6	negative	proximal	Female
BRK1	positive	proximal	Female
BST1	negative	proximal	Female
BTC	negative	proximal	Female
BTN2A1	positive	proximal	Female
BTN3A2	negative	proximal	Female
C1QA	positive	proximal	Female
C1QTNF1	positive	proximal	Female
C2	NA	proximal	Female
C4BPB	negative	proximal	Female
CA1	negative	proximal	Female
CA11	NA	proximal	Female
CA13	negative	proximal	Female
CA14	NA	proximal	Female
CA2	NA	proximal	Female
CA3	negative	proximal	Female
CA4	negative	proximal	Female
CA5A	positive	proximal	Female
CA6	positive	proximal	Female
CALB1	positive	proximal	Female
CALCA	positive	proximal	Female
CALCOCO1	negative	proximal	Female
CAMKK1	positive	proximal	Female
CAPG	NA	proximal	Female
CASP10	positive	proximal	Female
CASP2	NA	proximal	Female
CASP3	NA	proximal	Female
CASP8	negative	proximal	Female
CC2D1A	NA	proximal	Female
CCDC80	negative	proximal	Female
CCL11	positive	proximal	Female
CCL14	positive	proximal	Female
CCL15	negative	proximal	Female
CCL16	negative	proximal	Female
CCL17	positive	proximal	Female
CCL18	negative	proximal	Female
CCL22	positive	proximal	Female
CCL24	positive	proximal	Female
CCL25	negative	proximal	Female
CCL27	negative	proximal	Female
CCL3	negative	proximal	Female
CCL4	negative	proximal	Female
CCL8	negative	proximal	Female
CCN1	negative	proximal	Female
CCN4	positive	proximal	Female
CD109	positive	proximal	Female
CD14	negative	proximal	Female
CD163	negative	proximal	Female
CD177	negative	proximal	Female
CD200	positive	proximal	Female
CD200R1	positive	proximal	Female
CD207	positive	proximal	Female
CD22	positive	proximal	Female
CD244	negative	proximal	Female
CD274	negative	proximal	Female
CD276	negative	proximal	Female
CD300E	negative	proximal	Female
CD300LG	positive	proximal	Female
CD33	positive	proximal	Female
CD38	NA	proximal	Female
CD40LG	negative	proximal	Female
CD46	negative	proximal	Female
CD48	positive	proximal	Female
CD5	negative	proximal	Female
CD55	negative	proximal	Female
CD59	negative	proximal	Female
CD63	negative	proximal	Female
CD69	negative	proximal	Female
CD83	negative	proximal	Female
CD84	negative	proximal	Female
CD99L2	negative	proximal	Female
CDC27	NA	proximal	Female
CDC37	NA	proximal	Female
CDCP1	negative	proximal	Female
CDH1	negative	proximal	Female
CDH15	NA	proximal	Female
CDH3	negative	proximal	Female
CDHR2	positive	proximal	Female
CDHR5	positive	proximal	Female
CDKN1A	negative	proximal	Female
CDON	negative	proximal	Female
CDSN	negative	proximal	Female
CEACAM1	negative	proximal	Female
CEACAM21	NA	proximal	Female
CEACAM3	NA	proximal	Female
CEBPB	negative	proximal	Female
CELA3A	positive	proximal	Female
CERT	positive	proximal	Female
CES2	NA	proximal	Female
CES3	negative	proximal	Female
CETN2	positive	proximal	Female
CFC1	positive	proximal	Female
CGREF1	negative	proximal	Female
CHAC2	NA	proximal	Female
CHGB	negative	proximal	Female
CHI3L1	negative	proximal	Female
CHIT1	negative	proximal	Female
CHMP1A	positive	proximal	Female
CHRDL1	negative	proximal	Female
CHRDL2	negative	proximal	Female
CKAP4	negative	proximal	Female
CKMT1A_CKMT1B	negative	proximal	Female
CLC	positive	proximal	Female
CLEC14A	positive	proximal	Female
CLEC1A	negative	proximal	Female
CLEC4A	negative	proximal	Female
CLEC4C	positive	proximal	Female
CLEC4G	negative	proximal	Female
CLEC5A	negative	proximal	Female
CLEC7A	positive	proximal	Female
CLIP2	NA	proximal	Female
CLMP	positive	proximal	Female
CLPS	negative	proximal	Female
CLSTN2	negative	proximal	Female
CLUL1	negative	proximal	Female
CNDP1	negative	proximal	Female
CNPY4	NA	proximal	Female
CNST	negative	proximal	Female
CNTN3	positive	proximal	Female
CNTN4	positive	proximal	Female
CNTN5	negative	proximal	Female
CNTNAP2	positive	proximal	Female
COL18A1	positive	proximal	Female
COL1A1	negative	proximal	Female
COL9A1	negative	proximal	Female
