exposure	direction_group	outcome	group
AARSD1	negative	rectal	Male
ABHD14B	negative	rectal	Male
ACAA1	negative	rectal	Male
ACE2	negative	rectal	Male
ACP6	NA	rectal	Male
ACVRL1	positive	rectal	Male
ADAM22	positive	rectal	Male
ADAMTS13	negative	rectal	Male
ADAMTS15	positive	rectal	Male
ADAMTS8	positive	rectal	Male
ADH4	negative	rectal	Male
AFP	positive	rectal	Male
AGR2	negative	rectal	Male
AGR3	NA	rectal	Male
AGRN	positive	rectal	Male
AKR1B1	positive	rectal	Male
AKT1S1	NA	rectal	Male
ALCAM	positive	rectal	Male
ALPP	positive	rectal	Male
AMBP	negative	rectal	Male
AMN	negative	rectal	Male
AMY2A	negative	rectal	Male
AMY2B	negative	rectal	Male
ANG	negative	rectal	Male
ANGPT1	negative	rectal	Male
ANGPT2	positive	rectal	Male
ANGPTL1	negative	rectal	Male
ANGPTL7	negative	rectal	Male
ANPEP	negative	rectal	Male
ANXA11	NA	rectal	Male
ANXA4	NA	rectal	Male
AOC3	negative	rectal	Male
APBB1IP	positive	rectal	Male
APEX1	positive	rectal	Male
APLP1	positive	rectal	Male
APOM	negative	rectal	Male
APP	negative	rectal	Male
APRT	negative	rectal	Male
ARG1	negative	rectal	Male
ARHGAP1	NA	rectal	Male
ARHGAP25	NA	rectal	Male
ARSA	negative	rectal	Male
ASAH2	negative	rectal	Male
ASGR1	negative	rectal	Male
ATG4A	negative	rectal	Male
ATOX1	negative	rectal	Male
ATXN10	negative	rectal	Male
AXL	negative	rectal	Male
B4GALT1	positive	rectal	Male
B4GAT1	negative	rectal	Male
BACH1	NA	rectal	Male
BAG3	negative	rectal	Male
BANK1	NA	rectal	Male
BAX	NA	rectal	Male
BCL2L11	negative	rectal	Male
BGN	positive	rectal	Male
BID	NA	rectal	Male
BIN2	NA	rectal	Male
BLMH	positive	rectal	Male
BLVRB	NA	rectal	Male
BMP4	positive	rectal	Male
BOC	positive	rectal	Male
BRK1	negative	rectal	Male
BST1	negative	rectal	Male
BTC	negative	rectal	Male
BTN2A1	positive	rectal	Male
C19orf12	negative	rectal	Male
C1QA	negative	rectal	Male
C1QTNF1	positive	rectal	Male
C2	NA	rectal	Male
CA1	negative	rectal	Male
CA11	NA	rectal	Male
CA13	negative	rectal	Male
CA14	NA	rectal	Male
CA2	NA	rectal	Male
CA3	positive	rectal	Male
CA4	negative	rectal	Male
CA5A	negative	rectal	Male
CA6	negative	rectal	Male
CA9	positive	rectal	Male
CALB1	negative	rectal	Male
CAMKK1	negative	rectal	Male
CANT1	negative	rectal	Male
CAPG	NA	rectal	Male
CASP10	positive	rectal	Male
CASP2	NA	rectal	Male
CASP3	NA	rectal	Male
CASP8	positive	rectal	Male
CBLIF	positive	rectal	Male
CBLN4	positive	rectal	Male
