exposure	UNIPROT	group	outcome	nsnp	method	b	se	pval	OR	lower_ci	upper_ci
AGR3	Q8TD06	Male	overall	2	IVW-MRE	-0.123551765722971	0.00976793134687908	1.137216323683e-36	0.883775890762006	0.867016812193591	0.900858915429864
BIN2	Q9UBW5	Male	overall	2	IVW-MRE	0.012891169519564	0.00138562137526951	1.35859042302544e-20	1.01297461884628	1.01022729655084	1.01572941250962
BTC	P35070	Male	overall	3	IVW-MRE	-0.0136550554782681	0.00265804825613819	2.7878960605913e-07	0.986437751881653	0.981311997161961	0.991590280309932
CA13	Q8N1Q1	Male	overall	3	IVW-MRE	-0.106372570505548	0.0197650001884098	7.37178831166132e-08	0.899089611396356	0.864925441230229	0.934603251086099
CAMKK1	Q8N5S9	Male	overall	3	IVW-MRE	-0.0103839159887533	0.000932222292715027	8.11295723327551e-29	0.989669810741451	0.98786318091146	0.991479744582975
CDC27	P30260	Male	overall	2	IVW-MRE	0.0229534496786795	0.00333473519217994	5.85473757897127e-12	1.02321890726966	1.01655287423201	1.02992865273742
CEACAM3	P40198	Male	overall	2	IVW-MRE	0.183708649704261	0.0291075302566636	2.76560323650968e-10	1.20166566644236	1.13502864715751	1.27221491503551
CES2	O00748	Male	overall	2	IVW-MRE	-0.254476581091619	0.0378501499774504	1.77697217087267e-11	0.775322210077964	0.719885667264443	0.835027778403263
COMT	P21964	Male	overall	2	IVW-MRE	0.0179434692125594	8.59174630867153e-05	0	1.01810542046185	1.01793398774837	1.01827688204673
CRIM1	Q9NZV1	Male	overall	4	IVW-MRE	-0.187914166035678	0.0181393264056949	3.78978275893856e-25	0.828685833570382	0.79974108632542	0.858678167849949
CRTAC1	Q9NQ79	Male	overall	2	IVW-MRE	-0.0388521177547453	0.00301026980252723	4.13554887568096e-38	0.961892945517468	0.956234362833324	0.967585013254271
DNMBP	Q6XZF7	Male	overall	3	IVW-MRE	0.118268210032004	0.0282529636329783	2.8385564153961e-05	1.12554595360321	1.06491224990499	1.18963200375017
FAS	P25445	Male	overall	3	IVW-MRE	-0.0430284973126348	0.00774581794627891	2.77513573634516e-08	0.957884092555626	0.943451518258581	0.972537451065542
FOLR1	P15328	Male	overall	6	IVW-MRE	0.217835090732974	0.038103612327576	1.08475713405157e-08	1.24338200549604	1.15390519412227	1.33979708165483
GKN1	Q9NS71	Male	overall	4	IVW-MRE	-0.182178553173783	0.0407356159111932	7.74124635976039e-06	0.833452511538064	0.76949535634582	0.90272551128551
GLOD4	Q9HC38	Male	overall	2	IVW-MRE	0.0144738773440147	0.00162422916409519	5.0470143590566e-19	1.01457913110361	1.01135436516332	1.01781417940954
GOPC	Q9HD26	Male	overall	2	IVW-MRE	0.0119090437364036	0.000216488325795022	0	1.01198023873852	1.0115509292877	1.01240973039135
GYS1	P13807	Male	overall	3	IVW-MRE	-0.0369728498856027	0.00585948530021999	2.79190084576667e-10	0.96370229962155	0.952697884241778	0.97483382471769
HBQ1	P09105	Male	overall	2	IVW-MRE	0.0367530018971795	0.00521105968943063	1.7524636541812e-12	1.03743674428191	1.02689462900232	1.04808708507114
HDGF	P51858	Male	overall	2	IVW-MRE	-0.0271230399785237	0.00179916722741921	2.35336489379897e-51	0.97324148654556	0.969815523292545	0.976679552331406
ICA1	Q05084	Male	overall	2	IVW-MRE	0.0220890197654152	0.00116713931177448	6.99487640183035e-80	1.02233478842284	1.01999877540726	1.02467615140251
IGFBP4	P22692	Male	overall	3	IVW-MRE	-0.197242768311264	0.0460742186379005	1.86072811466111e-05	0.820991298446456	0.750100383424963	0.89858201251303
IGFBP6	P24592	Male	overall	3	IVW-MRE	-0.189650128952042	0.0349092789941203	5.55211553612539e-08	0.827248513622007	0.772539363299816	0.88583201814693
IL1RN	P18510	Male	overall	2	IVW-MRE	-0.151245407905257	0.00522698245031137	4.27040423858786e-184	0.859636711126701	0.85087479043475	0.86848885808352
LEFTY2	O00292	Male	overall	3	IVW-MRE	-0.205882541862608	0.0374826274736662	3.9573236727337e-08	0.813928673214418	0.756276301263956	0.87597599445254
