exposure	group	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	OR	lower_ci	upper_ci	ID
10015_119_KCNAB2_KCAB2	Female	proximal	10015_119	KCAB2	KCNAB2	2	IVW-MRE	0.41380204778157	0.0419840728100113	6.44631937892054e-23	1.51255768309872	1.39307462539369	1.64228872093224	10015_119_proximal_Female
12366_16_CRYGD_CRGD	Female	proximal	12366_16	CRGD	CRYGD	3	IVW-MRE	0.266837520790757	0.0193451357206324	2.78815486143834e-43	1.30582825915016	1.25724278178183	1.35629129640217	12366_16_proximal_Female
13130_150_HK2_HXK2	Male	proximal	13130_150	HXK2	HK2	2	IVW-MRE	0.185855293970906	0.0326733280237581	1.28319415173458e-08	1.20424798582457	1.12954576162374	1.28389062279144	13130_150_proximal_Male
13130_150_HK2_HXK2	Sex-combined	overall-HRC-EUR	13130_150	HXK2	HK2	2	IVW-MRE	0.0250444959267009	0.00303569066237542	1.58373586692951e-16	1.0253607438859	1.01927800887664	1.03147977877101	13130_150_overall-HRC-EUR_Sex-combined
13130_150_HK2_HXK2	Sex-combined	overall	13130_150	HXK2	HK2	2	IVW-MRE	0.0568561311268383	0.0130969014782707	1.41713437112528e-05	1.05850351373263	1.03167758873289	1.08602697278753	13130_150_overall_Sex-combined
13481_24_TCEA2_TCEA2	Female	rectal	13481_24	TCEA2	TCEA2	2	IVW-MRE	0.113973137154506	0.0248780288080272	4.62145586568425e-06	1.12072201869736	1.06738550029465	1.17672372619485	13481_24_rectal_Female
13481_24_TCEA2_TCEA2	Sex-combined	proximal	13481_24	TCEA2	TCEA2	2	IVW-MRE	0.0572556589996385	0.0122843616887862	3.14894730224671e-06	1.05892649988157	1.03373484816216	1.08473206078425	13481_24_proximal_Sex-combined
17329_2_BDH2_BDH2	Sex-combined	distal	17329_2	BDH2	BDH2	3	IVW-MRE	0.0760336734471329	0.00403136565783742	2.40816095632461e-79	1.07899890715821	1.07050681665544	1.08755836351048	17329_2_distal_Sex-combined
17419_17_TES_TES	Female	proximal	17419_17	TES	TES	3	IVW-MRE	0.447525719689961	0.0741947214066255	1.62170442686478e-09	1.56443653822572	1.35270198930909	1.80931328665063	17419_17_proximal_Female
17706_4_PPP1R1A_PPR1A	Sex-combined	proximal	17706_4	PPR1A	PPP1R1A	2	IVW-MRE	0.229828781057468	0.0515154855778392	8.14436945133228e-06	1.25838453221417	1.1375290720072	1.39208014096878	17706_4_proximal_Sex-combined
17722_5_FKBP4_FKBP52_protein	Female	proximal	17722_5	FKBP52_protein	FKBP4	3	IVW-MRE	0.262793209413528	0.0564391116342571	3.22059773911083e-06	1.3005577480429	1.16436113032318	1.45268543576763	17722_5_proximal_Female
17785_11_RCL_RCL	Female	overall	17785_11	RCL	RCL	3	IVW-MRE	0.153708515048309	0.0269510066929067	1.17539622985946e-08	1.16615092178841	1.10614892057108	1.22940767476938	17785_11_overall_Female
18876_77_CHST4_CHST4	Female	proximal	18876_77	CHST4	CHST4	2	IVW-MRE	0.447274701577422	0.0718441276818052	4.796356236992e-10	1.56404388560223	1.35860740920783	1.80054463085555	18876_77_proximal_Female
18878_15_GREM1_GREM1	Sex-combined	rectal	18878_15	GREM1	GREM1	14	IVW-MRE	0.271648141772538	0.0476508722027729	1.19245748192464e-08	1.31212523801781	1.19512697175665	1.44057717793173	18878_15_rectal_Sex-combined
18878_15_GREM1_GREM1	Female	distal	18878_15	GREM1	GREM1	14	IVW-MRE	0.193574602010951	0.0436102767655485	9.04877963615699e-06	1.2135799186769	1.11415743942681	1.32187441998639	18878_15_distal_Female
18878_15_GREM1_GREM1	Sex-combined	distal	18878_15	GREM1	GREM1	14	IVW-MRE	0.169670894966534	0.041163157764605	3.75741494831367e-05	1.18491482571082	1.09307093423465	1.28447578305828	18878_15_distal_Sex-combined
18878_15_GREM1_GREM1	Sex-combined	overall-HRC-EUR	18878_15	GREM1	GREM1	14	IVW-MRE	0.202536807438094	0.0353025675511528	9.62720002559785e-09	1.22450515519015	1.1426427428713	1.31223244049092	18878_15_overall-HRC-EUR_Sex-combined
18878_15_GREM1_GREM1	Female	rectal	18878_15	GREM1	GREM1	14	IVW-MRE	0.286241036384596	0.0513588784279305	2.49885943910051e-08	1.33141333563564	1.20391366158198	1.47241577770542	18878_15_rectal_Female
18878_15_GREM1_GREM1	Sex-combined	overall	18878_15	GREM1	GREM1	14	IVW-MRE	0.193400784390508	0.0342883555621121	1.69634206736614e-08	1.21336899543484	1.13450406407105	1.29771621425443	18878_15_overall_Sex-combined
18878_15_GREM1_GREM1	Female	proximal	18878_15	GREM1	GREM1	14	IVW-MRE	0.188298863673717	0.0333485766684767	1.63857808143526e-08	1.20719424794982	1.13081165472512	1.28873623312396	18878_15_proximal_Female
18878_15_GREM1_GREM1	Female	colon	18878_15	GREM1	GREM1	14	IVW-MRE	0.188682743009771	0.0292512606663711	1.11544973609813e-10	1.20765775383568	1.14036715016468	1.27891903076025	18878_15_colon_Female
18878_15_GREM1_GREM1	Sex-combined	colon	18878_15	GREM1	GREM1	14	IVW-MRE	0.190344718741519	0.0330630237651135	8.56082497981286e-09	1.20966652051317	1.13376187010116	1.29065293995103	18878_15_colon_Sex-combined
18878_15_GREM1_GREM1	Female	overall	18878_15	GREM1	GREM1	14	IVW-MRE	0.192171377628677	0.0372572607667207	2.49657908830228e-07	1.21187818797941	1.12653567190345	1.30368596319614	18878_15_overall_Female
18878_15_GREM1_GREM1	Sex-combined	proximal	18878_15	GREM1	GREM1	14	IVW-MRE	0.212614938717188	0.0328976753160243	1.02703763089852e-10	1.23690827404555	1.15967001532043	1.31929088291518	18878_15_proximal_Sex-combined
19176_27_FAM49B_FA49B	Female	distal	19176_27	FA49B	FAM49B	2	IVW-MRE	0.55367967006284	0.0411109443249983	2.41515292306025e-41	1.73964256561282	1.60496543285145	1.88562083278966	19176_27_distal_Female
19376_74_NNMT_NNMT	Female	rectal	19376_74	NNMT	NNMT	2	IVW-MRE	0.14710337914784	0.00746571529625809	1.99807114514801e-86	1.15847371886547	1.14164542515253	1.17555006811567	19376_74_rectal_Female
19376_74_NNMT_NNMT	Female	proximal	19376_74	NNMT	NNMT	2	IVW-MRE	0.230045025576517	0.0493717703836336	3.17063817215358e-06	1.25865668039633	1.14256570916485	1.38654313392993	19376_74_proximal_Female
19376_74_NNMT_NNMT	Female	colon	19376_74	NNMT	NNMT	2	IVW-MRE	0.0812152926099957	0.00263165924208214	4.00411128185217e-209	1.08460437873988	1.0790243362773	1.09021327770998	19376_74_colon_Female
19376_74_NNMT_NNMT	Female	overall	19376_74	NNMT	NNMT	2	IVW-MRE	0.112128566984099	0.00648870063490634	6.58722167208363e-67	1.11865667371482	1.10451984789052	1.1329744377493	19376_74_overall_Female
19376_74_NNMT_NNMT	Sex-combined	proximal	19376_74	NNMT	NNMT	2	IVW-MRE	0.125152554587787	0.00266208956983424	0	1.13332133324848	1.12742340773395	1.13925011276617	19376_74_proximal_Sex-combined
2731_29_POR_NADPH_P450_Oxidoreductase	Sex-combined	rectal	2731_29	NADPH_P450_Oxidoreductase	POR	4	IVW-MRE	0.1495713	0.03589804	3.092305e-05	1.161336	1.082433	1.245991	2731_29_rectal_Sex-combined
